Time,top_gun_2
2023-01-16,2.071748878923767
2023-01-17,1.3183856502242153
2023-01-18,1.1300448430493275
2023-01-19,1.1300448430493275
2023-01-20,1.3183856502242153
2023-01-21,2.071748878923767
2023-01-22,2.448430493273543
2023-01-23,1.883408071748879
2023-01-24,1.6950672645739913
2023-01-25,1.3183856502242153
2023-01-26,1.3183856502242153
2023-01-27,1.1300448430493275
2023-01-28,2.071748878923767
2023-01-29,2.260089686098655
2023-01-30,1.1300448430493275
2023-01-31,1.1300448430493275
2023-02-01,1.1300448430493275
2023-02-02,1.1300448430493275
2023-02-03,1.3183856502242153
2023-02-04,1.883408071748879
2023-02-05,2.448430493273543
2023-02-06,1.5067264573991033
2023-02-07,0.7533632286995516
2023-02-08,0.5650224215246638
2023-02-09,0.9417040358744395
2023-02-10,1.1300448430493275
2023-02-11,1.6950672645739913
2023-02-12,1.883408071748879
2023-02-13,1.883408071748879
2023-02-14,0.7533632286995516
2023-02-15,0.7533632286995516
2023-02-16,0.7533632286995516
2023-02-17,0.7533632286995516
2023-02-18,1.5067264573991033
2023-02-19,1.883408071748879
2023-02-20,1.3183856502242153
2023-02-21,1.1300448430493275
2023-02-22,0.9417040358744395
2023-02-23,0.9417040358744395
2023-02-24,0.7533632286995516
2023-02-25,1.883408071748879
2023-02-26,2.071748878923767
2023-02-27,1.1300448430493275
2023-02-28,0.7533632286995516
2023-03-01,0.7533632286995516
2023-03-02,0.9417040358744395
2023-03-03,0.9417040358744395
2023-03-04,1.6950672645739913
2023-03-05,1.3183856502242153
2023-03-06,0.9417040358744395
2023-03-07,0.7533632286995516
2023-03-08,0.9417040358744395
2023-03-09,1.1300448430493275
2023-03-10,1.1300448430493275
2023-03-11,1.883408071748879
2023-03-12,2.6367713004484306
2023-03-13,3.766816143497758
2023-03-14,1.3183856502242153
2023-03-15,1.1300448430493275
2023-03-16,0.9417040358744395
2023-03-17,0.9417040358744395
2023-03-18,1.5067264573991033
2023-03-19,1.883408071748879
2023-03-20,1.1300448430493275
2023-03-21,0.5650224215246638
2023-03-22,0.5650224215246638
2023-03-23,0.7533632286995516
2023-03-24,0.9417040358744395
2023-03-25,2.071748878923767
2023-03-26,2.8251121076233185
2023-03-27,1.5067264573991033
2023-03-28,1.3183856502242153
2023-03-29,1.1300448430493275
2023-03-30,1.1300448430493275
2023-03-31,1.1300448430493275
2023-04-01,1.6950672645739913
2023-04-02,2.6367713004484306
2023-04-03,1.1300448430493275
2023-04-04,0.5650224215246638
2023-04-05,0.7533632286995516
2023-04-06,0.9417040358744395
2023-04-07,1.1300448430493275
2023-04-08,1.6950672645739913
2023-04-09,2.071748878923767
2023-04-10,1.3183856502242153
2023-04-11,0.5650224215246638
2023-04-12,0.7533632286995516
2023-04-13,0.7533632286995516
2023-04-14,0.7533632286995516
2023-04-15,1.3183856502242153
2023-04-16,1.883408071748879
2023-04-17,0.9417040358744395
2023-04-18,0.9417040358744395
2023-04-19,0.5650224215246638
2023-04-20,0.5650224215246638
2023-04-21,0.7533632286995516
2023-04-22,1.1300448430493275
2023-04-23,1.6950672645739913
2023-04-24,0.9417040358744395
2023-04-25,0.7533632286995516
2023-04-26,0.7453487262665777
2023-04-27,0.7693922335654995
2023-04-28,0.7613777311325256
2023-04-29,1.1741246064306843
2023-04-30,1.554813471996947
2023-05-01,0.7533632286995516
2023-05-02,0.5550042934834463
2023-05-03,0.3967178704322107
2023-05-04,0.5630187959164202
2023-05-05,0.7213052189676559
2023-05-06,0.8014502432973953
2023-05-07,1.1340520942658143
2023-05-08,0.951722163915657
2023-05-09,0.5550042934834463
2023-05-10,0.7132907165346818
2023-05-11,0.42076137773113254
2023-05-12,0.37267436313328883
2023-05-13,0.9196641541837611
2023-05-14,1.29233851731705
2023-05-15,0.7453487262665777
2023-05-16,0.7533632286995516
2023-05-17,0.6030913080812901
2023-05-18,0.5790478007823682
2023-05-19,0.5309607861845245
2023-05-20,0.7693922335654995
2023-05-21,1.1180230893998666
2023-05-22,0.7373342238336037
2023-05-23,0.5870623032153421
2023-05-24,0.7132907165346818
2023-05-25,0.595076805648316
2023-05-26,0.6251311897719684
2023-05-27,0.9136532773590307
2023-05-28,1.4265814330693636
2023-05-29,1.4265814330693636
2023-05-30,0.849537257895239
2023-05-31,0.528957160576281
2023-06-01,0.6571891995038641
2023-06-02,0.8014502432973953
2023-06-03,0.9457112870909264
2023-06-04,1.009827306554718
2023-06-05,0.6251311897719684
2023-06-06,0.8014502432973953
2023-06-07,0.36866711191680185
2023-06-08,0.49689915084438513
2023-06-09,0.7213052189676558
2023-06-10,1.1220303406163534
2023-06-11,1.025856311420666
2023-06-12,0.7373342238336037
2023-06-13,0.6091021849060204
2023-06-14,0.49689915084438513
2023-06-15,0.5930731800400726
2023-06-16,0.5770441751741247
2023-06-17,0.8014502432973953
2023-06-18,1.0739433260185098
2023-06-19,0.7373342238336037
2023-06-20,0.5930731800400726
2023-06-21,0.6091021849060204
2023-06-22,0.528957160576281
2023-06-23,0.6571891995038641
2023-06-24,0.7854212384314474
2023-06-25,1.2502623795439367
2023-06-26,0.8815952676271349
2023-06-27,0.68924720923576
2023-06-28,0.528957160576281
2023-06-29,0.5449861654422288
2023-06-30,0.6411601946379163
2023-07-01,1.0899723308844576
2023-07-02,1.2342333746779888
2023-07-03,1.057914321152562
2023-07-04,1.4265814330693636
2023-07-05,0.8335082530292911
2023-07-06,0.5930731800400726
2023-07-07,0.865566262761187
2023-07-08,1.0899723308844576
2023-07-09,1.3143783990077282
2023-07-10,0.7373342238336037
2023-07-11,0.68924720923576
2023-07-12,0.7052762141017079
2023-07-13,0.5610151703081767
2023-07-14,0.8174792481633433
2023-07-15,1.2983493941417805
2023-07-16,1.538784467130999
2023-07-17,1.025856311420666
2023-07-18,0.49689915084438513
2023-07-19,0.6571891995038641
2023-07-20,0.5449861654422288
2023-07-21,0.7052762141017079
2023-07-22,1.0899723308844576
2023-07-23,1.202175364946093
2023-07-24,0.7373342238336037
2023-07-25,0.5770441751741247
2023-07-26,0.6411601946379163
2023-07-27,0.7854212384314474
2023-07-28,0.68924720923576
2023-07-29,0.8014502432973953
2023-07-30,0.9457112870909264
2023-07-31,0.41675412651464555
2023-08-01,0.5930731800400726
2023-08-02,0.33660910218490603
2023-08-03,0.5610151703081767
2023-08-04,0.5770441751741247
2023-08-05,0.8174792481633433
2023-08-06,0.9617402919568744
2023-08-07,0.7533632286995516
2023-08-08,0.512928155710333
2023-08-09,0.41675412651464555
2023-08-10,0.5449861654422288
2023-08-11,0.49689915084438513
2023-08-12,0.7213052189676558
2023-08-13,0.849537257895239
2023-08-14,0.5449861654422288
2023-08-15,0.44881213624654137
2023-08-16,0.33660910218490603
2023-08-17,0.4648411411124893
2023-08-18,0.7373342238336037
2023-08-19,0.8335082530292911
2023-08-20,1.0899723308844576
2023-08-21,0.7533632286995516
2023-08-22,0.528957160576281
2023-08-23,0.6571891995038641
2023-08-24,0.49689915084438513
2023-08-25,0.512928155710333
2023-08-26,0.7052762141017079
2023-08-27,0.8014502432973953
2023-08-28,0.5449861654422288
2023-08-29,0.4648411411124893
2023-08-30,0.40072512164869767
2023-08-31,0.4808701459784372
2023-09-01,0.44881213624654137
2023-09-02,0.8014502432973953
2023-09-03,0.9777692968228223
2023-09-04,0.9617402919568744
2023-09-05,0.5770441751741247
2023-09-06,0.35263810705085397
2023-09-07,0.2564640778551665
2023-09-08,0.5449861654422288
2023-09-09,0.5770441751741247
2023-09-10,0.7854212384314474
2023-09-11,0.3045510924530102
2023-09-12,0.3045510924530102
2023-09-13,0.36866711191680185
2023-09-14,0.4648411411124893
2023-09-15,0.41675412651464555
2023-09-16,0.8335082530292911
2023-09-17,0.9296822822249786
2023-09-18,0.33660910218490603
2023-09-19,0.35263810705085397
2023-09-20,0.3045510924530102
2023-09-21,0.19234805839137487
2023-09-22,0.32058009731895815
2023-09-23,0.5449861654422288
2023-09-24,0.49689915084438513
2023-09-25,0.41675412651464555
2023-09-26,0.3045510924530102
2023-09-27,0.3045510924530102
2023-09-28,0.49689915084438513
2023-09-29,0.49689915084438513
2023-09-30,0.44881213624654137
2023-10-01,0.7052762141017079
2023-10-02,0.38469611678274973
2023-10-03,0.2404350729892186
2023-10-04,0.2724930827211144
2023-10-05,0.4327831313805935
2023-10-06,0.36866711191680185
2023-10-07,0.7052762141017079
2023-10-08,0.6732182043698121
2023-10-09,0.4327831313805935
2023-10-10,0.40072512164869767
2023-10-11,0.4808701459784372
2023-10-12,0.4327831313805935
2023-10-13,0.4648411411124893
2023-10-14,0.6251311897719684
2023-10-15,0.6571891995038641
2023-10-16,0.6091021849060204
2023-10-17,0.32058009731895815
2023-10-18,0.4648411411124893
2023-10-19,0.40072512164869767
2023-10-20,0.36866711191680185
2023-10-21,0.7373342238336037
2023-10-22,0.865566262761187
2023-10-23,0.5610151703081767
2023-10-24,0.49689915084438513
2023-10-25,0.512928155710333
2023-10-26,0.49689915084438513
2023-10-27,0.528957160576281
2023-10-28,0.4808701459784372
2023-10-29,0.6732182043698121
2023-10-30,0.49689915084438513
2023-10-31,0.32058009731895815
2023-11-01,0.4327831313805935
2023-11-02,0.40072512164869767
2023-11-03,0.5449861654422288
2023-11-04,0.68924720923576
2023-11-05,0.8174792481633433
2023-11-06,0.4327831313805935
2023-11-07,0.33660910218490603
2023-11-08,0.44881213624654137
2023-11-09,0.4327831313805935
2023-11-10,0.38469611678274973
2023-11-11,0.7533632286995516
2023-11-12,0.7854212384314474
2023-11-13,0.49689915084438513
2023-11-14,0.2885220875870623
2023-11-15,0.2404350729892186
2023-11-16,0.44881213624654137
2023-11-17,0.4648411411124893
2023-11-18,0.68924720923576
2023-11-19,0.68924720923576
2023-11-20,0.41675412651464555
2023-11-21,0.40072512164869767
2023-11-22,0.528957160576281
2023-11-23,0.8014502432973953
2023-11-24,1.025856311420666
2023-11-25,0.8335082530292911
2023-11-26,0.849537257895239
2023-11-27,0.4327831313805935
2023-11-28,0.4808701459784372
2023-11-29,0.38469611678274973
2023-11-30,0.44881213624654137
2023-12-01,0.2885220875870623
2023-12-02,0.5930731800400726
2023-12-03,0.5610151703081767
2023-12-04,0.35263810705085397
2023-12-05,0.2724930827211144
2023-12-06,0.35263810705085397
2023-12-07,0.33660910218490603
2023-12-08,0.35263810705085397
2023-12-09,0.6091021849060204
2023-12-10,0.6732182043698121
2023-12-11,0.41675412651464555
2023-12-12,0.2885220875870623
2023-12-13,0.33660910218490603
2023-12-14,0.3045510924530102
2023-12-15,0.40072512164869767
2023-12-16,0.4327831313805935
2023-12-17,0.4808701459784372
2023-12-18,0.4648411411124893
2023-12-19,0.5610151703081767
2023-12-20,0.4327831313805935
2023-12-21,0.41675412651464555
2023-12-22,0.3554052313505617
2023-12-23,0.6895303174662875
2023-12-24,0.6096608768958323
2023-12-25,0.8199745509393883
2023-12-26,0.7840470818706476
2023-12-27,0.6895303174662875
2023-12-28,0.5444387601592819
2023-12-29,0.5297914363253771
2023-12-30,0.8199745509393883
2023-12-31,0.7840470818706476
2024-01-01,0.7906799032715786
2024-01-02,0.4139945266861811
2024-01-03,0.37806705761744047
2024-01-04,0.3341250861157259
2024-01-05,0.5950135530619274
2024-01-06,0.7401051103689331
2024-01-07,0.7041776413001923
2024-01-08,0.6536028483975469
2024-01-09,0.4139945266861811
2024-01-10,0.523158614924446
2024-01-11,0.2542556455452706
2024-01-12,0.7840470818706476
2024-01-13,1.3284858420299295
2024-01-14,1.3138385181960246
2024-01-15,0.6895303174662875
2024-01-16,0.5297914363253771
2024-01-17,0.7188249651340972
2024-01-18,0.44992199575492176
2024-01-19,0.5950135530619274
2024-01-20,0.6895303174662875
2024-01-21,0.7694072825079861
2024-01-22,0.4112349268577167
2024-01-23,0.46429749806516396
2024-01-24,0.5173600692726112
2024-01-25,0.49082878366888766
2024-01-26,0.5306257120744731
2024-01-27,0.9949232101396371
2024-01-28,0.9020637105266043
2024-01-29,0.689813425696815
2024-01-30,0.46429749806516396
2024-01-31,0.4245005696595785
2024-02-01,0.2785784988390984
2024-02-02,0.5836882832819205
2024-02-03,0.6367508544893677
2024-02-04,0.8092042109135715
2024-02-05,0.4377662124614403
2024-02-06,0.4377662124614403
2024-02-07,0.38470364125399303
2024-02-08,0.4377662124614403
2024-02-09,0.39796928405585485
2024-02-10,0.7561416397061242
2024-02-11,0.8755324249228806
2024-02-12,0.6765477828949532
2024-02-13,0.5306257120744731
2024-02-14,0.5571569976781968
2024-02-15,0.6500164972912296
2024-02-16,0.49082878366888766
2024-02-17,0.849001139319157
2024-02-18,0.7561416397061242
2024-02-19,0.6102195688856441
2024-02-20,0.49082878366888766
2024-02-21,0.5173600692726112
2024-02-22,0.46429749806516396
2024-02-23,0.46429749806516396
2024-02-24,0.7694072825079861
2024-02-25,1.0745170669508082
2024-02-26,0.5173600692726112
2024-02-27,0.46429749806516396
2024-02-28,0.4245005696595785
2024-02-29,0.5571569976781968
2024-03-01,0.35817235565026934
2024-03-02,0.8092042109135715
2024-03-03,0.7163447113005387
2024-03-04,0.45103185526330214
2024-03-05,0.46429749806516396
2024-03-06,0.29184414164096023
2024-03-07,0.4112349268577167
2024-03-08,0.5040944264707494
2024-03-09,0.5306257120744731
2024-03-10,0.8755324249228806
2024-03-11,0.8622667821210188
2024-03-12,0.46429749806516396
2024-03-13,0.49082878366888766
2024-03-14,0.19898464202792743
2024-03-15,0.5306257120744731
2024-03-16,0.8092042109135715
2024-03-17,0.7296103541024005
2024-03-18,0.6234852116875059
2024-03-19,0.4377662124614403
2024-03-20,0.4377662124614403
2024-03-21,0.26531285603723653
2024-03-22,0.46429749806516396
2024-03-23,0.8755324249228806
2024-03-24,1.167376566563841
2024-03-25,0.5571569976781968
2024-03-26,0.5969539260837823
2024-03-27,0.4245005696595785
2024-03-28,0.5173600692726112
2024-03-29,0.5173600692726112
2024-03-30,0.8357354965172952
2024-03-31,0.8755324249228806
2024-04-01,0.6102195688856441
2024-04-02,0.5571569976781968
2024-04-03,0.5173600692726112
2024-04-04,0.5306257120744731
2024-04-05,0.4112349268577167
2024-04-06,0.6632821400930914
2024-04-07,0.8092042109135715
2024-04-08,0.5704226404800586
2024-04-09,0.3449067128484075
2024-04-10,0.5571569976781968
2024-04-11,0.3714379984521312
2024-04-12,0.49082878366888766
2024-04-13,0.49082878366888766
2024-04-14,0.3714379984521312
2024-04-15,0.4245005696595785
2024-04-16,0.2785784988390984
2024-04-17,0.2520472132353747
2024-04-18,0.39796928405585485
2024-04-19,0.5040944264707494
2024-04-20,0.6102195688856441
2024-04-21,0.6367508544893677
2024-04-22,0.5571569976781968
2024-04-23,0.543891354876335
2024-04-24,0.49082878366888766
2024-04-25,0.4377662124614403
2024-04-26,0.2520472132353747
2024-04-27,0.7296103541024005
2024-04-28,0.8622667821210188
2024-04-29,0.5306257120744731
2024-04-30,0.4377662124614403
2024-05-01,0.4112349268577167
2024-05-02,0.29184414164096023
2024-05-03,0.6632821400930914
2024-05-04,0.6765477828949532
2024-05-05,0.5704226404800586
2024-05-06,0.4245005696595785
2024-05-07,0.19898464202792743
2024-05-08,0.4245005696595785
2024-05-09,0.49082878366888766
2024-05-10,0.5704226404800586
2024-05-11,0.6765477828949532
2024-05-12,0.7694072825079861
2024-05-13,0.543891354876335
2024-05-14,0.35817235565026934
2024-05-15,0.38470364125399303
2024-05-16,0.38470364125399303
2024-05-17,0.39796928405585485
2024-05-18,0.9020637105266043
2024-05-19,1.0612514241489461
2024-05-20,0.5704226404800586
2024-05-21,0.38470364125399303
2024-05-22,0.49082878366888766
2024-05-23,0.46429749806516396
2024-05-24,0.4775631408670258
2024-05-25,0.9816575673377753
2024-05-26,0.8092042109135715
2024-05-27,0.7428759969042624
2024-05-28,0.5040944264707494
2024-05-29,0.3714379984521312
2024-05-30,0.45103185526330214
2024-05-31,0.5836882832819205
2024-06-01,0.6234852116875059
2024-06-02,0.7959385681117097
2024-06-03,0.4377662124614403
2024-06-04,0.39796928405585485
2024-06-05,0.5836882832819205
2024-06-06,0.45103185526330214
2024-06-07,0.4775631408670258
2024-06-08,0.7163447113005387
2024-06-09,0.7561416397061242
2024-06-10,0.6632821400930914
2024-06-11,0.5040944264707494
2024-06-12,0.5173600692726112
2024-06-13,0.39796928405585485
2024-06-14,0.5173600692726112
2024-06-15,0.849001139319157
2024-06-16,1.0612514241489461
2024-06-17,0.6234852116875059
2024-06-18,0.6367508544893677
2024-06-19,0.5306257120744731
2024-06-20,0.6234852116875059
2024-06-21,0.4377662124614403
2024-06-22,0.5571569976781968
2024-06-23,0.7694072825079861
2024-06-24,0.6102195688856441
2024-06-25,0.49082878366888766
2024-06-26,0.49082878366888766
2024-06-27,0.5173600692726112
2024-06-28,0.4112349268577167
2024-06-29,0.6102195688856441
2024-06-30,0.7163447113005387
2024-07-01,0.6234852116875059
2024-07-02,0.5571569976781968
2024-07-03,0.6500164972912296
2024-07-04,1.0081888529414988
2024-07-05,0.9153293533284661
2024-07-06,0.9816575673377753
2024-07-07,0.9020637105266043
2024-07-08,0.6500164972912296
2024-07-09,0.4377662124614403
2024-07-10,0.7030790684986769
2024-07-11,0.4377662124614403
2024-07-12,0.6367508544893677
2024-07-13,0.7826729253098479
2024-07-14,0.5571569976781968
2024-07-15,0.46429749806516396
2024-07-16,0.5306257120744731
2024-07-17,0.38470364125399303
2024-07-18,0.5173600692726112
2024-07-19,0.7163447113005387
2024-07-20,1.0745170669508082
2024-07-21,1.3265642801861828
2024-07-22,1.0081888529414988
2024-07-23,0.689813425696815
2024-07-24,0.6102195688856441
2024-07-25,1.1275796381582555
2024-07-26,0.9418606389321897
2024-07-27,1.0745170669508082
2024-07-28,1.313298637384321
2024-07-29,0.7826729253098479
2024-07-30,0.7826729253098479
2024-07-31,0.46429749806516396
2024-08-01,0.6234852116875059
2024-08-02,0.5571569976781968
2024-08-03,0.9020637105266043
2024-08-04,1.154110923761979
2024-08-05,0.689813425696815
2024-08-06,0.39796928405585485
2024-08-07,0.5040944264707494
2024-08-08,0.39796928405585485
2024-08-09,0.5571569976781968
2024-08-10,0.7561416397061242
2024-08-11,0.9683919245359135
2024-08-12,0.7030790684986769
2024-08-13,0.543891354876335
2024-08-14,0.5836882832819205
