Time,bath_and_body_works
2022-05-12,22.0
2022-05-13,22.0
2022-05-14,30.0
2022-05-15,36.0
2022-05-16,22.0
2022-05-17,24.0
2022-05-18,25.0
2022-05-19,21.0
2022-05-20,24.0
2022-05-21,29.0
2022-05-22,30.0
2022-05-23,21.0
2022-05-24,23.0
2022-05-25,24.0
2022-05-26,24.0
2022-05-27,27.0
2022-05-28,30.0
2022-05-29,27.0
2022-05-30,31.0
2022-05-31,22.0
2022-06-01,23.0
2022-06-02,23.0
2022-06-03,25.0
2022-06-04,29.0
2022-06-05,28.0
2022-06-06,27.0
2022-06-07,23.0
2022-06-08,26.0
2022-06-09,26.0
2022-06-10,34.0
2022-06-11,100.0
2022-06-12,81.0
2022-06-13,52.0
2022-06-14,39.0
2022-06-15,34.0
2022-06-16,34.0
2022-06-17,38.0
2022-06-18,44.0
2022-06-19,41.0
2022-06-20,35.0
2022-06-21,30.0
2022-06-22,34.0
2022-06-23,37.0
2022-06-24,34.0
2022-06-25,33.0
2022-06-26,31.0
2022-06-27,34.0
2022-06-28,32.0
2022-06-29,29.0
2022-06-30,30.0
2022-07-01,33.0
2022-07-02,39.0
2022-07-03,39.0
2022-07-04,38.0
2022-07-05,28.0
2022-07-06,28.0
2022-07-07,30.0
2022-07-08,34.0
2022-07-09,31.0
2022-07-10,42.0
2022-07-11,28.0
2022-07-12,31.0
2022-07-13,28.0
2022-07-14,26.0
2022-07-15,29.0
2022-07-16,32.0
2022-07-17,33.0
2022-07-18,39.0
2022-07-19,34.0
2022-07-20,33.0
2022-07-21,33.0
2022-07-22,30.0
2022-07-23,35.0
2022-07-24,37.0
2022-07-25,28.0
2022-07-26,27.0
2022-07-27,30.0
2022-07-28,30.0
2022-07-29,31.0
2022-07-30,34.0
2022-07-31,40.0
2022-08-01,30.0
2022-08-02,27.0
2022-08-03,27.0
2022-08-04,29.0
2022-08-05,31.0
2022-08-06,46.0
2022-08-07,41.0
2022-08-08,31.0
2022-08-09,26.0
2022-08-10,30.0
2022-08-11,31.0
2022-08-12,31.0
2022-08-13,40.0
2022-08-14,39.0
2022-08-15,27.0
2022-08-16,26.0
2022-08-17,28.0
2022-08-18,27.0
2022-08-19,28.0
2022-08-20,63.0
2022-08-21,65.0
2022-08-22,31.0
2022-08-23,29.0
2022-08-24,28.0
2022-08-25,31.0
2022-08-26,29.0
2022-08-27,39.0
2022-08-28,39.0
2022-08-29,27.0
2022-08-30,26.5
2022-08-31,27.0
2022-09-01,27.0
2022-09-02,30.0
2022-09-03,48.5
2022-09-04,51.0
2022-09-05,48.5
2022-09-06,29.5
2022-09-07,30.0
2022-09-08,30.0
2022-09-09,30.0
2022-09-10,39.0
2022-09-11,48.0
2022-09-12,30.0
2022-09-13,26.5
2022-09-14,30.0
2022-09-15,29.5
2022-09-16,29.5
2022-09-17,48.0
2022-09-18,50.5
2022-09-19,30.5
2022-09-20,24.5
2022-09-21,27.5
2022-09-22,30.0
2022-09-23,30.0
2022-09-24,45.5
2022-09-25,39.5
2022-09-26,26.5
2022-09-27,24.0
2022-09-28,27.0
2022-09-29,30.0
2022-09-30,27.0
2022-10-01,36.0
2022-10-02,36.0
2022-10-03,27.0
2022-10-04,27.0
2022-10-05,27.0
2022-10-06,24.0
2022-10-07,27.0
2022-10-08,30.0
2022-10-09,36.0
2022-10-10,30.0
2022-10-11,33.0
2022-10-12,27.0
2022-10-13,27.0
2022-10-14,27.0
2022-10-15,36.0
2022-10-16,33.0
2022-10-17,27.0
2022-10-18,30.0
2022-10-19,27.0
2022-10-20,24.0
2022-10-21,27.0
2022-10-22,30.0
2022-10-23,57.0
2022-10-24,30.0
2022-10-25,24.0
2022-10-26,30.0
2022-10-27,30.0
2022-10-28,36.0
2022-10-29,45.0
2022-10-30,45.0
2022-10-31,30.0
2022-11-01,27.0
2022-11-02,30.0
2022-11-03,36.0
2022-11-04,33.0
2022-11-05,57.0
2022-11-06,54.0
2022-11-07,36.0
2022-11-08,33.0
2022-11-09,33.0
2022-11-10,36.0
2022-11-11,39.0
2022-11-12,63.0
2022-11-13,72.0
2022-11-14,48.0
2022-11-15,42.0
2022-11-16,45.0
2022-11-17,51.0
2022-11-18,57.0
2022-11-19,93.0
2022-11-20,96.0
2022-11-21,63.0
2022-11-22,57.0
2022-11-23,60.0
2022-11-24,75.0
2022-11-25,177.0
2022-11-26,120.0
2022-11-27,105.0
2022-11-28,99.0
2022-11-29,66.0
2022-11-30,57.0
2022-12-01,81.0
2022-12-02,300.0
2022-12-03,171.0
2022-12-04,102.0
2022-12-05,57.0
2022-12-06,51.0
2022-12-07,57.0
2022-12-08,60.0
2022-12-09,99.0
2022-12-10,126.0
2022-12-11,102.0
2022-12-12,60.0
2022-12-13,57.0
2022-12-14,60.0
2022-12-15,72.0
2022-12-16,75.0
2022-12-17,78.0
2022-12-18,78.0
2022-12-19,66.0
2022-12-20,66.0
2022-12-21,69.0
2022-12-22,69.0
2022-12-23,69.0
2022-12-24,69.0
2022-12-25,48.0
2022-12-26,168.0
2022-12-27,102.0
2022-12-28,66.0
2022-12-29,69.0
2022-12-30,57.0
2022-12-31,48.0
2023-01-01,45.0
2023-01-02,45.0
2023-01-03,33.0
2023-01-04,30.0
2023-01-05,27.0
2023-01-06,33.0
2023-01-07,42.0
2023-01-08,42.0
2023-01-09,33.0
2023-01-10,30.0
2023-01-11,30.0
2023-01-12,27.0
2023-01-13,27.0
2023-01-14,33.0
2023-01-15,30.0
2023-01-16,30.0
2023-01-17,24.0
2023-01-18,21.0
2023-01-19,21.0
2023-01-20,21.0
2023-01-21,27.0
2023-01-22,27.0
2023-01-23,24.0
2023-01-24,21.0
2023-01-25,21.0
2023-01-26,24.0
2023-01-27,24.0
2023-01-28,27.0
2023-01-29,30.0
2023-01-30,21.0
2023-01-31,21.0
2023-02-01,21.0
2023-02-02,24.0
2023-02-03,24.0
2023-02-04,30.0
2023-02-05,30.0
2023-02-06,21.0
2023-02-07,21.0
2023-02-08,21.0
2023-02-09,24.0
2023-02-10,27.0
2023-02-11,33.0
2023-02-12,30.0
2023-02-13,21.0
2023-02-14,21.0
2023-02-15,21.0
2023-02-16,21.0
2023-02-17,24.0
2023-02-18,33.0
2023-02-19,33.0
2023-02-20,27.0
2023-02-21,24.0
2023-02-22,21.0
2023-02-23,24.0
2023-02-24,24.0
2023-02-25,30.0
2023-02-26,30.0
2023-02-27,21.0
2023-02-28,18.0
2023-03-01,21.0
2023-03-02,24.0
2023-03-03,24.0
2023-03-04,33.0
2023-03-05,30.0
2023-03-06,21.0
2023-03-07,18.0
2023-03-08,21.0
2023-03-09,21.0
2023-03-10,24.0
2023-03-11,27.0
2023-03-12,27.0
2023-03-13,21.0
2023-03-14,21.0
2023-03-15,21.0
2023-03-16,27.0
2023-03-17,24.0
2023-03-18,27.0
2023-03-19,30.0
2023-03-20,21.0
2023-03-21,30.0
2023-03-22,21.0
2023-03-23,18.0
2023-03-24,21.0
2023-03-25,27.0
2023-03-26,27.0
2023-03-27,18.0
2023-03-28,21.0
2023-03-29,18.0
2023-03-30,18.0
2023-03-31,30.0
2023-04-01,30.0
2023-04-02,33.0
2023-04-03,27.0
2023-04-04,27.0
2023-04-05,24.0
2023-04-06,24.0
2023-04-07,27.0
2023-04-08,27.0
2023-04-09,33.0
2023-04-10,24.0
2023-04-11,21.0
2023-04-12,18.0
2023-04-13,21.0
2023-04-14,21.0
2023-04-15,30.0
2023-04-16,33.0
2023-04-17,21.0
2023-04-18,18.0
2023-04-19,21.0
2023-04-20,21.0
2023-04-21,21.0
2023-04-22,27.0
2023-04-23,30.0
2023-04-24,24.0
2023-04-25,27.0
2023-04-26,24.0
2023-04-27,21.299999999999997
2023-04-28,33.3
2023-04-29,41.4
2023-04-30,42.599999999999994
2023-05-01,26.7
2023-05-02,22.799999999999997
2023-05-03,24.0
2023-05-04,24.0
2023-05-05,24.0
2023-05-06,32.1
2023-05-07,36.0
2023-05-08,26.7
2023-05-09,24.0
2023-05-10,27.9
2023-05-11,33.3
2023-05-12,36.0
2023-05-13,50.7
2023-05-14,50.7
2023-05-15,26.7
2023-05-16,21.299999999999997
2023-05-17,22.799999999999997
2023-05-18,21.299999999999997
2023-05-19,21.299999999999997
2023-05-20,26.7
2023-05-21,26.7
2023-05-22,24.0
2023-05-23,24.0
2023-05-24,21.299999999999997
2023-05-25,24.0
2023-05-26,24.0
2023-05-27,28.799999999999997
2023-05-28,28.799999999999997
2023-05-29,31.2
2023-05-30,24.0
2023-05-31,24.0
2023-06-01,26.4
2023-06-02,38.4
2023-06-03,98.39999999999999
2023-06-04,74.39999999999999
2023-06-05,43.199999999999996
2023-06-06,33.6
2023-06-07,36.0
2023-06-08,33.6
2023-06-09,31.2
2023-06-10,36.0
2023-06-11,40.8
2023-06-12,31.2
2023-06-13,26.4
2023-06-14,26.4
2023-06-15,31.2
2023-06-16,33.6
2023-06-17,36.0
2023-06-18,33.6
2023-06-19,28.799999999999997
2023-06-20,24.0
2023-06-21,26.4
2023-06-22,26.4
2023-06-23,28.799999999999997
2023-06-24,31.2
2023-06-25,33.6
2023-06-26,28.799999999999997
2023-06-27,28.799999999999997
2023-06-28,24.0
2023-06-29,26.4
2023-06-30,24.0
2023-07-01,28.799999999999997
2023-07-02,33.6
2023-07-03,28.799999999999997
2023-07-04,28.799999999999997
2023-07-05,21.599999999999998
2023-07-06,21.599999999999998
2023-07-07,24.0
2023-07-08,26.4
2023-07-09,28.799999999999997
2023-07-10,21.599999999999998
2023-07-11,26.4
2023-07-12,26.4
2023-07-13,21.599999999999998
2023-07-14,31.2
2023-07-15,33.6
2023-07-16,38.4
2023-07-17,28.799999999999997
2023-07-18,26.4
2023-07-19,26.4
2023-07-20,24.0
2023-07-21,28.799999999999997
2023-07-22,31.2
2023-07-23,40.8
2023-07-24,28.799999999999997
2023-07-25,26.4
2023-07-26,26.4
2023-07-27,28.799999999999997
2023-07-28,31.2
2023-07-29,33.6
2023-07-30,36.0
2023-07-31,26.4
2023-08-01,24.0
2023-08-02,26.4
2023-08-03,26.4
2023-08-04,31.2
2023-08-05,33.6
2023-08-06,36.0
2023-08-07,26.4
2023-08-08,26.4
2023-08-09,24.0
2023-08-10,26.4
2023-08-11,28.799999999999997
2023-08-12,33.6
2023-08-13,31.2
2023-08-14,24.0
2023-08-15,26.4
2023-08-16,24.0
2023-08-17,28.799999999999997
2023-08-18,40.8
2023-08-19,45.6
2023-08-20,40.8
2023-08-21,28.799999999999997
2023-08-22,26.4
2023-08-23,31.2
2023-08-24,28.799999999999997
2023-08-25,28.799999999999997
2023-08-26,38.4
2023-08-27,40.8
2023-08-28,26.4
2023-08-29,24.0
2023-08-30,26.4
2023-08-31,24.0
2023-09-01,26.4
2023-09-02,36.0
2023-09-03,40.8
2023-09-04,38.4
2023-09-05,24.0
2023-09-06,21.599999999999998
2023-09-07,31.2
2023-09-08,26.4
2023-09-09,33.6
2023-09-10,36.0
2023-09-11,26.4
2023-09-12,24.0
2023-09-13,24.0
2023-09-14,24.0
2023-09-15,31.2
2023-09-16,36.0
2023-09-17,38.4
2023-09-18,24.0
2023-09-19,24.0
2023-09-20,24.0
2023-09-21,24.0
2023-09-22,26.4
2023-09-23,38.4
2023-09-24,40.8
2023-09-25,24.0
2023-09-26,24.0
2023-09-27,26.4
2023-09-28,26.4
2023-09-29,26.4
2023-09-30,33.6
2023-10-01,38.4
2023-10-02,26.4
2023-10-03,24.0
2023-10-04,24.0
2023-10-05,24.0
2023-10-06,24.0
2023-10-07,33.6
2023-10-08,36.0
2023-10-09,28.799999999999997
2023-10-10,26.4
2023-10-11,26.4
2023-10-12,28.799999999999997
2023-10-13,26.4
2023-10-14,36.0
2023-10-15,36.0
2023-10-16,24.0
2023-10-17,28.799999999999997
2023-10-18,24.0
2023-10-19,24.0
2023-10-20,26.4
2023-10-21,31.2
2023-10-22,33.6
2023-10-23,24.0
2023-10-24,24.0
2023-10-25,28.799999999999997
2023-10-26,28.799999999999997
2023-10-27,28.799999999999997
2023-10-28,52.8
2023-10-29,48.0
2023-10-30,28.799999999999997
2023-10-31,26.4
2023-11-01,31.2
2023-11-02,31.2
2023-11-03,48.0
2023-11-04,55.199999999999996
2023-11-05,55.199999999999996
2023-11-06,33.6
2023-11-07,31.2
2023-11-08,31.2
2023-11-09,31.2
2023-11-10,40.8
2023-11-11,57.599999999999994
2023-11-12,62.4
2023-11-13,36.0
2023-11-14,36.0
2023-11-15,40.8
2023-11-16,43.199999999999996
2023-11-17,45.6
2023-11-18,81.6
2023-11-19,81.6
2023-11-20,64.8
2023-11-21,64.8
2023-11-22,72.0
2023-11-23,86.39999999999999
2023-11-24,180.0
2023-11-25,124.8
2023-11-26,100.8
2023-11-27,93.6
2023-11-28,69.6
2023-11-29,57.599999999999994
2023-11-30,64.8
2023-12-01,240.0
2023-12-02,184.79999999999998
2023-12-03,117.6
2023-12-04,64.8
2023-12-05,57.599999999999994
2023-12-06,55.199999999999996
2023-12-07,50.4
2023-12-08,98.39999999999999
2023-12-09,120.0
2023-12-10,122.39999999999999
2023-12-11,74.39999999999999
2023-12-12,60.0
2023-12-13,67.2
2023-12-14,62.4
2023-12-15,62.4
2023-12-16,69.6
2023-12-17,72.0
2023-12-18,52.8
2023-12-19,55.199999999999996
2023-12-20,57.599999999999994
2023-12-21,62.4
2023-12-22,68.90526315789474
2023-12-23,76.29473684210527
2023-12-24,67.07368421052632
2023-12-25,47.36842105263158
2023-12-26,126.7578947368421
2023-12-27,81.22105263157894
2023-12-28,66.4421052631579
2023-12-29,57.85263157894737
2023-12-30,52.294736842105266
2023-12-31,40.61052631578947
2024-01-01,41.242105263157896
2024-01-02,35.684210526315795
2024-01-03,30.757894736842104
2024-01-04,31.38947368421053
2024-01-05,31.38947368421053
2024-01-06,33.22105263157895
2024-01-07,31.38947368421053
2024-01-08,23.368421052631582
2024-01-09,21.53684210526316
2024-01-10,24.0
2024-01-11,24.0
2024-01-12,24.0
2024-01-13,28.926315789473684
2024-01-14,28.294736842105266
2024-01-15,24.0
2024-01-16,17.242105263157896
2024-01-17,19.705263157894738
2024-01-18,19.705263157894738
2024-01-19,19.705263157894738
2024-01-20,24.0
2024-01-21,27.78947368421053
2024-01-22,18.947368421052634
2024-01-23,16.42105263157895
2024-01-24,18.947368421052634
2024-01-25,17.68421052631579
2024-01-26,18.947368421052634
2024-01-27,25.263157894736846
2024-01-28,25.263157894736846
2024-01-29,17.68421052631579
2024-01-30,16.42105263157895
2024-01-31,17.68421052631579
2024-02-01,17.68421052631579
2024-02-02,17.68421052631579
2024-02-03,25.263157894736846
2024-02-04,26.52631578947369
2024-02-05,17.68421052631579
2024-02-06,16.42105263157895
2024-02-07,18.947368421052634
2024-02-08,18.947368421052634
2024-02-09,20.210526315789476
2024-02-10,25.263157894736846
2024-02-11,24.000000000000004
2024-02-12,15.157894736842106
2024-02-13,20.210526315789476
2024-02-14,22.73684210526316
2024-02-15,17.68421052631579
2024-02-16,18.947368421052634
2024-02-17,26.52631578947369
2024-02-18,30.315789473684212
2024-02-19,25.263157894736846
2024-02-20,20.210526315789476
2024-02-21,17.68421052631579
2024-02-22,18.947368421052634
2024-02-23,18.947368421052634
2024-02-24,24.000000000000004
2024-02-25,26.52631578947369
2024-02-26,17.68421052631579
2024-02-27,17.68421052631579
2024-02-28,20.210526315789476
2024-02-29,18.947368421052634
2024-03-01,21.47368421052632
2024-03-02,26.52631578947369
2024-03-03,30.315789473684212
2024-03-04,18.947368421052634
2024-03-05,17.68421052631579
2024-03-06,18.947368421052634
2024-03-07,20.210526315789476
2024-03-08,18.947368421052634
2024-03-09,26.52631578947369
2024-03-10,24.000000000000004
2024-03-11,18.947368421052634
2024-03-12,20.210526315789476
2024-03-13,18.947368421052634
2024-03-14,20.210526315789476
2024-03-15,25.263157894736846
2024-03-16,27.78947368421053
2024-03-17,29.052631578947373
2024-03-18,18.947368421052634
2024-03-19,16.42105263157895
2024-03-20,17.68421052631579
2024-03-21,17.68421052631579
2024-03-22,21.47368421052632
2024-03-23,29.052631578947373
2024-03-24,27.78947368421053
2024-03-25,21.47368421052632
2024-03-26,22.73684210526316
2024-03-27,24.000000000000004
2024-03-28,21.47368421052632
2024-03-29,22.73684210526316
2024-03-30,27.78947368421053
2024-03-31,37.89473684210527
2024-04-01,24.000000000000004
2024-04-02,18.947368421052634
2024-04-03,20.210526315789476
2024-04-04,21.47368421052632
2024-04-05,27.78947368421053
2024-04-06,35.36842105263158
2024-04-07,35.36842105263158
2024-04-08,20.210526315789476
2024-04-09,16.42105263157895
2024-04-10,18.947368421052634
2024-04-11,17.68421052631579
2024-04-12,20.210526315789476
2024-04-13,30.315789473684212
2024-04-14,24.000000000000004
2024-04-15,17.68421052631579
2024-04-16,17.68421052631579
2024-04-17,18.947368421052634
2024-04-18,18.947368421052634
2024-04-19,20.210526315789476
2024-04-20,24.000000000000004
2024-04-21,25.263157894736846
2024-04-22,16.42105263157895
2024-04-23,17.68421052631579
2024-04-24,17.68421052631579
2024-04-25,17.68421052631579
2024-04-26,26.52631578947369
2024-04-27,27.78947368421053
2024-04-28,30.315789473684212
2024-04-29,18.947368421052634
2024-04-30,17.68421052631579
2024-05-01,16.42105263157895
2024-05-02,24.000000000000004
2024-05-03,21.47368421052632
2024-05-04,27.78947368421053
2024-05-05,29.052631578947373
2024-05-06,20.210526315789476
2024-05-07,20.210526315789476
2024-05-08,22.73684210526316
2024-05-09,25.263157894736846
2024-05-10,26.52631578947369
2024-05-11,34.10526315789474
2024-05-12,35.36842105263158
2024-05-13,20.210526315789476
2024-05-14,16.42105263157895
2024-05-15,16.42105263157895
2024-05-16,16.42105263157895
2024-05-17,16.42105263157895
2024-05-18,22.73684210526316
2024-05-19,25.263157894736846
2024-05-20,16.42105263157895
2024-05-21,16.42105263157895
2024-05-22,16.42105263157895
2024-05-23,16.42105263157895
2024-05-24,17.68421052631579
2024-05-25,22.73684210526316
2024-05-26,25.263157894736846
2024-05-27,27.78947368421053
2024-05-28,18.947368421052634
2024-05-29,18.947368421052634
2024-05-30,20.210526315789476
2024-05-31,27.78947368421053
2024-06-01,58.10526315789475
2024-06-02,59.36842105263159
2024-06-03,29.052631578947373
2024-06-04,29.052631578947373
2024-06-05,30.315789473684212
2024-06-06,26.52631578947369
2024-06-07,25.263157894736846
2024-06-08,29.052631578947373
2024-06-09,32.8421052631579
2024-06-10,25.263157894736846
2024-06-11,22.73684210526316
2024-06-12,22.73684210526316
2024-06-13,26.52631578947369
2024-06-14,27.78947368421053
2024-06-15,30.315789473684212
2024-06-16,30.315789473684212
2024-06-17,21.47368421052632
2024-06-18,20.210526315789476
2024-06-19,24.000000000000004
2024-06-20,20.210526315789476
2024-06-21,22.73684210526316
2024-06-22,29.052631578947373
2024-06-23,27.78947368421053
2024-06-24,21.47368421052632
2024-06-25,18.947368421052634
2024-06-26,18.947368421052634
2024-06-27,21.47368421052632
2024-06-28,20.210526315789476
2024-06-29,25.263157894736846
2024-06-30,26.52631578947369
2024-07-01,17.68421052631579
2024-07-02,17.68421052631579
2024-07-03,18.947368421052634
2024-07-04,21.47368421052632
2024-07-05,20.210526315789476
2024-07-06,22.73684210526316
2024-07-07,22.73684210526316
2024-07-08,18.947368421052634
2024-07-09,17.68421052631579
2024-07-10,18.947368421052634
2024-07-11,18.947368421052634
2024-07-12,22.73684210526316
2024-07-13,22.73684210526316
2024-07-14,22.73684210526316
2024-07-15,17.68421052631579
2024-07-16,20.210526315789476
2024-07-17,20.210526315789476
2024-07-18,22.73684210526316
2024-07-19,22.73684210526316
2024-07-20,25.263157894736846
2024-07-21,25.263157894736846
2024-07-22,20.210526315789476
2024-07-23,20.210526315789476
2024-07-24,22.73684210526316
2024-07-25,26.52631578947369
2024-07-26,25.263157894736846
2024-07-27,29.052631578947373
2024-07-28,31.578947368421055
2024-07-29,22.73684210526316
2024-07-30,20.210526315789476
2024-07-31,21.47368421052632
2024-08-01,21.47368421052632
2024-08-02,24.000000000000004
2024-08-03,27.78947368421053
2024-08-04,31.578947368421055
2024-08-05,25.263157894736846
2024-08-06,20.210526315789476
2024-08-07,21.47368421052632
2024-08-08,22.73684210526316
2024-08-09,21.47368421052632
2024-08-10,27.78947368421053
2024-08-11,29.052631578947373
2024-08-12,20.210526315789476
2024-08-13,20.210526315789476
2024-08-14,20.210526315789476
2024-08-15,25.263157894736846
2024-08-16,32.8421052631579
2024-08-17,42.94736842105264
2024-08-18,44.273684210526326
2024-08-19,25.76842105263158
2024-08-20,24.315789473684212
2024-08-21,22.863157894736844
2024-08-22,27.852631578947374
2024-08-23,24.947368421052637
2024-08-24,32.8421052631579
2024-08-25,36.37894736842105
2024-08-26,21.410526315789475
2024-08-27,19.957894736842107
2024-08-28,22.0421052631579
2024-08-29,21.410526315789475
2024-08-30,29.305263157894743
2024-08-31,31.38947368421053
2024-09-01,34.92631578947369
2024-09-02,40.736842105263165
2024-09-03,22.863157894736844
2024-09-04,19.32631578947369
2024-09-05,22.863157894736844
2024-09-06,22.863157894736844
2024-09-07,29.93684210526316
2024-09-08,31.38947368421053
2024-09-09,19.32631578947369
2024-09-10,19.32631578947369
2024-09-11,18.50526315789474
2024-09-12,19.957894736842107
2024-09-13,26.400000000000006
2024-09-14,34.294736842105266
2024-09-15,32.8421052631579
2024-09-16,22.863157894736844
2024-09-17,21.347368421052636
2024-09-18,18.063157894736843
2024-09-19,19.70526315789474
2024-09-20,26.27368421052632
2024-09-21,31.200000000000003
2024-09-22,31.200000000000003
2024-09-23,19.70526315789474
2024-09-24,18.063157894736843
2024-09-25,19.70526315789474
2024-09-26,19.70526315789474
2024-09-27,22.98947368421053
2024-09-28,31.200000000000003
2024-09-29,32.8421052631579
2024-09-30,21.347368421052636
2024-10-01,19.70526315789474
2024-10-02,19.70526315789474
2024-10-03,19.70526315789474
2024-10-04,22.98947368421053
2024-10-05,32.8421052631579
2024-10-06,31.200000000000003
2024-10-07,21.347368421052636
2024-10-08,22.98947368421053
2024-10-09,22.98947368421053
2024-10-10,21.347368421052636
2024-10-11,24.631578947368425
2024-10-12,34.48421052631579
2024-10-13,42.69473684210527
2024-10-14,36.126315789473686
2024-10-15,41.05263157894738
2024-10-16,29.55789473684211
2024-10-17,27.915789473684214
2024-10-18,24.631578947368425
2024-10-19,27.915789473684214
2024-10-20,29.55789473684211
2024-10-21,21.347368421052636
2024-10-22,22.98947368421053
2024-10-23,24.631578947368425
2024-10-24,29.55789473684211
2024-10-25,26.27368421052632
2024-10-26,31.200000000000003
2024-10-27,34.48421052631579
2024-10-28,24.631578947368425
2024-10-29,21.347368421052636
2024-10-30,26.27368421052632
2024-10-31,21.347368421052636
2024-11-01,41.05263157894738
2024-11-02,44.336842105263166
2024-11-03,52.54736842105264
2024-11-04,26.27368421052632
2024-11-05,22.98947368421053
2024-11-06,16.42105263157895
2024-11-07,24.631578947368425
2024-11-08,32.8421052631579
2024-11-09,44.336842105263166
2024-11-10,41.05263157894738
2024-11-11,32.8421052631579
2024-11-12,27.915789473684214
2024-11-13,27.915789473684214
2024-11-14,39.41052631578948
2024-11-15,37.76842105263158
2024-11-16,45.97894736842106
2024-11-17,62.400000000000006
2024-11-18,36.126315789473686
2024-11-19,29.55789473684211
2024-11-20,27.915789473684214
2024-11-21,31.200000000000003
2024-11-22,45.97894736842106
2024-11-23,59.11578947368422
2024-11-24,55.83157894736843
2024-11-25,41.05263157894738
2024-11-26,41.05263157894738
2024-11-27,45.97894736842106
2024-11-28,52.54736842105264
2024-11-29,116.58947368421055
2024-11-30,88.67368421052633
2024-12-01,75.53684210526316
2024-12-02,67.3263157894737
2024-12-03,54.18947368421053
2024-12-04,41.05263157894738
2024-12-05,50.905263157894744
2024-12-06,164.2105263157895
2024-12-07,123.15789473684212
2024-12-08,93.60000000000001
2024-12-09,49.26315789473685
2024-12-10,36.126315789473686
2024-12-11,37.76842105263158
2024-12-12,41.05263157894738
2024-12-13,73.89473684210527
2024-12-14,105.09473684210528
2024-12-15,100.16842105263159
2024-12-16,62.400000000000006
2024-12-17,59.11578947368422
2024-12-18,59.11578947368422
2024-12-19,62.400000000000006
2024-12-20,59.11578947368422
2024-12-21,57.47368421052632
2024-12-22,59.11578947368422
2024-12-23,57.47368421052632
2024-12-24,65.6842105263158
2024-12-25,37.76842105263158
2024-12-26,105.09473684210528
2024-12-27,77.17894736842106
2024-12-28,54.18947368421053
2024-12-29,44.336842105263166
2024-12-30,36.126315789473686
2024-12-31,32.8421052631579
2025-01-01,32.8421052631579
2025-01-02,31.200000000000003
2025-01-03,29.55789473684211
2025-01-04,32.8421052631579
2025-01-05,31.200000000000003
2025-01-06,22.98947368421053
2025-01-07,21.347368421052636
2025-01-08,19.70526315789474
2025-01-09,21.347368421052636
2025-01-10,21.347368421052636
2025-01-11,26.27368421052632
2025-01-12,24.631578947368425
2025-01-13,19.70526315789474
2025-01-14,19.70526315789474
