Time,tom_brady
2022-11-01,3.6
2022-11-02,2.8000000000000003
2022-11-03,2.4000000000000004
2022-11-04,2.0
2022-11-05,2.0
2022-11-06,6.0
2022-11-07,8.0
2022-11-08,2.4000000000000004
2022-11-09,2.4000000000000004
2022-11-10,3.2
2022-11-11,2.8000000000000003
2022-11-12,3.2
2022-11-13,6.800000000000001
2022-11-14,4.0
2022-11-15,3.2
2022-11-16,2.8000000000000003
2022-11-17,3.2
2022-11-18,2.8000000000000003
2022-11-19,2.8000000000000003
2022-11-20,3.2
2022-11-21,2.4000000000000004
2022-11-22,2.4000000000000004
2022-11-23,2.4000000000000004
2022-11-24,3.2
2022-11-25,3.6
2022-11-26,2.4000000000000004
2022-11-27,4.800000000000001
2022-11-28,3.2
2022-11-29,1.6
2022-11-30,1.6
2022-12-01,1.6
2022-12-02,2.0
2022-12-03,1.6
2022-12-04,2.0
2022-12-05,2.4000000000000004
2022-12-06,8.0
2022-12-07,2.4000000000000004
2022-12-08,2.8000000000000003
2022-12-09,2.4000000000000004
2022-12-10,2.0
2022-12-11,6.800000000000001
2022-12-12,6.800000000000001
2022-12-13,4.800000000000001
2022-12-14,3.6
2022-12-15,2.4000000000000004
2022-12-16,2.4000000000000004
2022-12-17,2.0
2022-12-18,4.800000000000001
2022-12-19,4.4
2022-12-20,2.8000000000000003
2022-12-21,1.6
2022-12-22,1.6
2022-12-23,1.6
2022-12-24,2.0
2022-12-25,4.0
2022-12-26,9.600000000000001
2022-12-27,2.4000000000000004
2022-12-28,2.4000000000000004
2022-12-29,2.4000000000000004
2022-12-30,2.4000000000000004
2022-12-31,3.6
2023-01-01,7.6000000000000005
2023-01-02,4.0
2023-01-03,3.2
2023-01-04,2.4000000000000004
2023-01-05,2.0
2023-01-06,2.0
2023-01-07,2.4000000000000004
2023-01-08,6.0
2023-01-09,4.800000000000001
2023-01-10,3.2
2023-01-11,2.4000000000000004
2023-01-12,2.8000000000000003
2023-01-13,2.8000000000000003
2023-01-14,3.6
2023-01-15,4.4
2023-01-16,6.4
2023-01-17,29.200000000000003
2023-01-18,6.4
2023-01-19,4.4
2023-01-20,3.2
2023-01-21,4.0
2023-01-22,6.800000000000001
2023-01-23,4.0
2023-01-24,4.0
2023-01-25,2.8000000000000003
2023-01-26,2.4000000000000004
2023-01-27,2.4000000000000004
2023-01-28,3.2
2023-01-29,4.0
2023-01-30,4.4
2023-01-31,4.0
2023-02-01,40.0
2023-02-02,18.0
2023-02-03,8.0
2023-02-04,6.800000000000001
2023-02-05,6.0
2023-02-06,4.4
2023-02-07,5.6000000000000005
2023-02-08,3.6
2023-02-09,3.2
2023-02-10,3.6
2023-02-11,3.2
2023-02-12,5.2
2023-02-13,7.6000000000000005
2023-02-14,2.4000000000000004
2023-02-15,2.4000000000000004
2023-02-16,2.0
2023-02-17,2.0
2023-02-18,1.6
2023-02-19,1.6
2023-02-20,1.2000000000000002
2023-02-21,1.2000000000000002
2023-02-22,1.6
2023-02-23,1.6
2023-02-24,1.6
2023-02-25,1.6
2023-02-26,1.6
2023-02-27,1.2000000000000002
2023-02-28,1.6
2023-03-01,1.6
2023-03-02,1.2000000000000002
2023-03-03,1.2000000000000002
2023-03-04,1.2000000000000002
2023-03-05,1.6
2023-03-06,1.6
2023-03-07,3.2
2023-03-08,2.4000000000000004
2023-03-09,1.6
2023-03-10,2.0
2023-03-11,1.6
2023-03-12,1.2000000000000002
2023-03-13,1.2000000000000002
2023-03-14,1.2000000000000002
2023-03-15,1.6
2023-03-16,1.2000000000000002
2023-03-17,1.2000000000000002
2023-03-18,1.2000000000000002
2023-03-19,3.2
2023-03-20,2.0
2023-03-21,3.2
2023-03-22,1.2000000000000002
2023-03-23,1.6
2023-03-24,1.6
2023-03-25,1.6
2023-03-26,1.2000000000000002
2023-03-27,0.8
2023-03-28,1.2000000000000002
2023-03-29,1.2000000000000002
2023-03-30,1.2000000000000002
2023-03-31,1.6
2023-04-01,2.4000000000000004
2023-04-02,2.0
2023-04-03,1.6
2023-04-04,1.2000000000000002
2023-04-05,1.2000000000000002
2023-04-06,1.6
2023-04-07,1.2000000000000002
2023-04-08,1.2000000000000002
2023-04-09,1.2000000000000002
2023-04-10,0.8
2023-04-11,0.8
2023-04-12,0.8
2023-04-13,0.8
2023-04-14,0.8
2023-04-15,0.8
2023-04-16,0.8
2023-04-17,0.8
2023-04-18,1.2000000000000002
2023-04-19,0.8
2023-04-20,0.8
2023-04-21,1.6
2023-04-22,1.6
2023-04-23,2.8000000000000003
2023-04-24,2.8000000000000003
2023-04-25,1.6
2023-04-26,1.1333333333333333
2023-04-27,1.1333333333333333
2023-04-28,1.6666666666666667
2023-04-29,1.6
2023-04-30,1.2000000000000002
2023-05-01,0.8666666666666667
2023-05-02,0.8666666666666667
2023-05-03,0.8666666666666667
2023-05-04,0.8666666666666667
2023-05-05,0.8666666666666667
2023-05-06,1.1333333333333333
2023-05-07,0.9333333333333333
2023-05-08,0.8
2023-05-09,0.7333333333333334
2023-05-10,0.8
2023-05-11,1.5333333333333332
2023-05-12,2.8
2023-05-13,2.8666666666666667
2023-05-14,4.0
2023-05-15,1.6666666666666667
2023-05-16,1.6666666666666667
2023-05-17,2.3333333333333335
2023-05-18,2.8666666666666667
2023-05-19,3.1333333333333333
2023-05-20,1.2666666666666666
2023-05-21,1.2000000000000002
2023-05-22,1.5333333333333332
2023-05-23,2.0
2023-05-24,1.6666666666666667
2023-05-25,2.0
2023-05-26,2.1333333333333333
2023-05-27,1.0666666666666667
2023-05-28,1.2
2023-05-29,1.3333333333333333
2023-05-30,1.3333333333333333
2023-05-31,1.0666666666666667
2023-06-01,1.4666666666666666
2023-06-02,1.2
2023-06-03,1.0666666666666667
2023-06-04,1.0666666666666667
2023-06-05,0.8
2023-06-06,0.8
2023-06-07,0.8
2023-06-08,0.8
2023-06-09,0.9333333333333333
2023-06-10,1.3333333333333333
2023-06-11,2.8
2023-06-12,1.8666666666666667
2023-06-13,1.3333333333333333
2023-06-14,0.9333333333333333
2023-06-15,1.2
2023-06-16,1.0666666666666667
2023-06-17,1.0666666666666667
2023-06-18,1.0666666666666667
2023-06-19,0.8
2023-06-20,0.8
2023-06-21,0.6666666666666666
2023-06-22,0.6666666666666666
2023-06-23,0.8
2023-06-24,0.8
2023-06-25,0.9333333333333333
2023-06-26,0.8
2023-06-27,0.9333333333333333
2023-06-28,0.9333333333333333
2023-06-29,0.6666666666666666
2023-06-30,0.6666666666666666
2023-07-01,0.8
2023-07-02,0.9333333333333333
2023-07-03,0.8
2023-07-04,1.0666666666666667
2023-07-05,1.0666666666666667
2023-07-06,1.4666666666666666
2023-07-07,3.6
2023-07-08,3.2
2023-07-09,2.933333333333333
2023-07-10,2.0
2023-07-11,1.6
2023-07-12,1.4666666666666666
2023-07-13,1.6
2023-07-14,1.4666666666666666
2023-07-15,1.3333333333333333
2023-07-16,2.6666666666666665
2023-07-17,4.8
2023-07-18,3.3333333333333335
2023-07-19,1.4666666666666666
2023-07-20,1.3333333333333333
2023-07-21,1.2
2023-07-22,1.2
2023-07-23,1.3333333333333333
2023-07-24,3.6
2023-07-25,5.333333333333333
2023-07-26,8.0
2023-07-27,4.533333333333333
2023-07-28,1.4666666666666666
2023-07-29,1.3333333333333333
2023-07-30,1.3333333333333333
2023-07-31,1.0666666666666667
2023-08-01,0.9333333333333333
2023-08-02,0.9333333333333333
2023-08-03,2.1333333333333333
2023-08-04,4.666666666666667
2023-08-05,6.533333333333333
2023-08-06,3.8666666666666667
2023-08-07,1.0666666666666667
2023-08-08,1.2
2023-08-09,1.3333333333333333
2023-08-10,1.0666666666666667
2023-08-11,1.2
2023-08-12,1.6
2023-08-13,1.6
2023-08-14,1.2
2023-08-15,1.7333333333333334
2023-08-16,2.4
2023-08-17,1.3333333333333333
2023-08-18,1.2
2023-08-19,1.3333333333333333
2023-08-20,1.6
2023-08-21,1.0666666666666667
2023-08-22,1.3333333333333333
2023-08-23,1.8666666666666667
2023-08-24,1.2
2023-08-25,1.2
2023-08-26,1.7333333333333334
2023-08-27,2.933333333333333
2023-08-28,1.7333333333333334
2023-08-29,1.7333333333333334
2023-08-30,1.4666666666666666
2023-08-31,1.2
2023-09-01,1.2
2023-09-02,1.2
2023-09-03,1.3333333333333333
2023-09-04,1.4666666666666666
2023-09-05,1.4666666666666666
2023-09-06,2.0
2023-09-07,3.7333333333333334
2023-09-08,7.333333333333333
2023-09-09,8.8
2023-09-10,13.333333333333334
2023-09-11,7.066666666666666
2023-09-12,7.2
2023-09-13,3.6
2023-09-14,2.4
2023-09-15,2.1333333333333333
2023-09-16,1.6
2023-09-17,2.8
2023-09-18,2.4
2023-09-19,1.3333333333333333
2023-09-20,1.7333333333333334
2023-09-21,1.6
2023-09-22,1.7333333333333334
2023-09-23,1.7333333333333334
2023-09-24,2.6666666666666665
2023-09-25,2.0
2023-09-26,1.8666666666666667
2023-09-27,1.2
2023-09-28,1.0666666666666667
2023-09-29,1.0666666666666667
2023-09-30,1.3333333333333333
2023-10-01,2.4
2023-10-02,1.8666666666666667
2023-10-03,1.3333333333333333
2023-10-04,1.0666666666666667
2023-10-05,1.0666666666666667
2023-10-06,1.2
2023-10-07,1.0666666666666667
2023-10-08,1.8666666666666667
2023-10-09,1.7333333333333334
2023-10-10,1.4666666666666666
2023-10-11,1.2
2023-10-12,1.0666666666666667
2023-10-13,1.2
2023-10-14,0.9333333333333333
2023-10-15,1.7333333333333334
2023-10-16,1.0666666666666667
2023-10-17,1.0666666666666667
2023-10-18,0.9333333333333333
2023-10-19,1.0666666666666667
2023-10-20,1.0666666666666667
2023-10-21,1.0666666666666667
2023-10-22,1.7333333333333334
2023-10-23,1.0666666666666667
2023-10-24,1.0666666666666667
2023-10-25,0.8
2023-10-26,0.9333333333333333
2023-10-27,1.0666666666666667
2023-10-28,0.8
2023-10-29,1.4666666666666666
2023-10-30,1.3333333333333333
2023-10-31,1.0666666666666667
2023-11-01,0.9333333333333333
2023-11-02,0.8
2023-11-03,0.9333333333333333
2023-11-04,0.9333333333333333
2023-11-05,1.4666666666666666
2023-11-06,1.0666666666666667
2023-11-07,0.9333333333333333
2023-11-08,1.0666666666666667
2023-11-09,0.9333333333333333
2023-11-10,0.9333333333333333
2023-11-11,1.2
2023-11-12,1.4666666666666666
2023-11-13,1.2
2023-11-14,1.0666666666666667
2023-11-15,1.2
2023-11-16,1.0666666666666667
2023-11-17,1.3333333333333333
2023-11-18,1.2
2023-11-19,1.4666666666666666
2023-11-20,1.2
2023-11-21,1.3333333333333333
2023-11-22,1.0666666666666667
2023-11-23,1.4666666666666666
2023-11-24,1.3333333333333333
2023-11-25,1.6
2023-11-26,1.8666666666666667
2023-11-27,1.3333333333333333
2023-11-28,1.0666666666666667
2023-11-29,0.9333333333333333
2023-11-30,0.9333333333333333
2023-12-01,0.8
2023-12-02,0.8
2023-12-03,1.2
2023-12-04,1.0666666666666667
2023-12-05,0.9333333333333333
2023-12-06,0.8
2023-12-07,0.8
2023-12-08,1.3333333333333333
2023-12-09,1.0666666666666667
2023-12-10,1.4666666666666666
2023-12-11,1.3333333333333333
2023-12-12,1.3333333333333333
2023-12-13,1.4666666666666666
2023-12-14,1.2
2023-12-15,1.2
2023-12-16,1.3333333333333333
2023-12-17,1.8666666666666667
2023-12-18,1.2
2023-12-19,1.2
2023-12-20,1.0666666666666667
2023-12-21,0.9333333333333333
2023-12-22,0.9866666666666667
2023-12-23,0.9866666666666667
2023-12-24,1.4266666666666667
2023-12-25,2.04
2023-12-26,1.6666666666666667
2023-12-27,1.0533333333333332
2023-12-28,1.0533333333333332
2023-12-29,1.3599999999999999
2023-12-30,1.12
2023-12-31,2.04
2024-01-01,2.1066666666666665
2024-01-02,1.7333333333333334
2024-01-03,1.0533333333333332
2024-01-04,1.0533333333333332
2024-01-05,0.9866666666666667
2024-01-06,1.0533333333333332
2024-01-07,1.7333333333333334
2024-01-08,1.4266666666666667
2024-01-09,2.3466666666666667
2024-01-10,1.12
2024-01-11,2.1733333333333333
2024-01-12,1.6666666666666667
2024-01-13,1.6666666666666667
2024-01-14,2.1066666666666665
2024-01-15,1.8
2024-01-16,3.0933333333333333
2024-01-17,1.3599999999999999
2024-01-18,1.2933333333333334
2024-01-19,1.12
2024-01-20,1.6666666666666667
2024-01-21,3.466666666666667
2024-01-22,2.7733333333333334
2024-01-23,1.3866666666666667
2024-01-24,1.04
2024-01-25,1.3866666666666667
2024-01-26,1.04
2024-01-27,1.04
2024-01-28,3.12
2024-01-29,3.466666666666667
2024-01-30,2.7733333333333334
2024-01-31,2.4266666666666667
2024-02-01,1.7333333333333334
2024-02-02,1.7333333333333334
2024-02-03,2.08
2024-02-04,1.7333333333333334
2024-02-05,1.3866666666666667
2024-02-06,1.3866666666666667
2024-02-07,1.3866666666666667
2024-02-08,1.3866666666666667
2024-02-09,1.7333333333333334
2024-02-10,1.7333333333333334
2024-02-11,4.16
2024-02-12,12.826666666666668
2024-02-13,4.8533333333333335
2024-02-14,3.12
2024-02-15,2.08
2024-02-16,1.7333333333333334
2024-02-17,1.7333333333333334
2024-02-18,1.3866666666666667
2024-02-19,1.3866666666666667
2024-02-20,1.04
2024-02-21,1.04
2024-02-22,1.04
2024-02-23,1.04
2024-02-24,1.04
2024-02-25,1.04
2024-02-26,1.7333333333333334
2024-02-27,3.8133333333333335
2024-02-28,3.8133333333333335
2024-02-29,3.12
2024-03-01,1.7333333333333334
2024-03-02,1.3866666666666667
2024-03-03,1.3866666666666667
2024-03-04,1.04
2024-03-05,1.04
2024-03-06,0.6933333333333334
2024-03-07,1.04
2024-03-08,1.04
2024-03-09,1.04
2024-03-10,1.04
2024-03-11,1.04
2024-03-12,1.04
2024-03-13,0.6933333333333334
2024-03-14,0.6933333333333334
2024-03-15,0.6933333333333334
2024-03-16,1.04
2024-03-17,1.04
2024-03-18,1.04
2024-03-19,0.6933333333333334
2024-03-20,0.6933333333333334
2024-03-21,0.6933333333333334
2024-03-22,0.6933333333333334
2024-03-23,0.6933333333333334
2024-03-24,0.6933333333333334
2024-03-25,0.6933333333333334
2024-03-26,0.6933333333333334
2024-03-27,0.6933333333333334
2024-03-28,0.6933333333333334
2024-03-29,0.6933333333333334
2024-03-30,0.6933333333333334
2024-03-31,0.6933333333333334
2024-04-01,0.6933333333333334
2024-04-02,0.6933333333333334
2024-04-03,0.6933333333333334
2024-04-04,0.6933333333333334
2024-04-05,0.6933333333333334
2024-04-06,0.6933333333333334
2024-04-07,0.6933333333333334
2024-04-08,0.6933333333333334
2024-04-09,0.6933333333333334
2024-04-10,0.6933333333333334
2024-04-11,1.3866666666666667
2024-04-12,2.7733333333333334
2024-04-13,1.7333333333333334
2024-04-14,1.7333333333333334
2024-04-15,1.04
2024-04-16,0.6933333333333334
2024-04-17,0.6933333333333334
2024-04-18,0.6933333333333334
2024-04-19,0.6933333333333334
2024-04-20,0.6933333333333334
2024-04-21,0.6933333333333334
2024-04-22,1.04
2024-04-23,1.04
2024-04-24,1.04
2024-04-25,1.04
2024-04-26,1.7333333333333334
2024-04-27,1.3866666666666667
2024-04-28,1.04
2024-04-29,1.04
2024-04-30,1.3866666666666667
2024-05-01,1.3866666666666667
2024-05-02,1.3866666666666667
2024-05-03,1.3866666666666667
2024-05-04,1.7333333333333334
2024-05-05,4.16
2024-05-06,34.66666666666667
2024-05-07,26.0
2024-05-08,17.333333333333336
2024-05-09,13.173333333333334
2024-05-10,11.786666666666667
2024-05-11,12.826666666666668
2024-05-12,11.786666666666667
2024-05-13,7.626666666666667
2024-05-14,8.32
2024-05-15,6.933333333333334
2024-05-16,4.16
2024-05-17,3.12
2024-05-18,3.8133333333333335
2024-05-19,3.8133333333333335
2024-05-20,2.4266666666666667
2024-05-21,2.08
2024-05-22,1.7333333333333334
2024-05-23,1.3866666666666667
2024-05-24,1.7333333333333334
2024-05-25,2.08
2024-05-26,2.08
2024-05-27,2.08
2024-05-28,1.3866666666666667
2024-05-29,1.3866666666666667
2024-05-30,1.3866666666666667
2024-05-31,1.3866666666666667
2024-06-01,1.7333333333333334
2024-06-02,1.3866666666666667
2024-06-03,1.3866666666666667
2024-06-04,1.04
2024-06-05,1.04
2024-06-06,1.04
2024-06-07,1.04
2024-06-08,1.04
2024-06-09,1.3866666666666667
2024-06-10,1.04
2024-06-11,1.3866666666666667
2024-06-12,3.12
2024-06-13,3.8133333333333335
2024-06-14,2.4266666666666667
2024-06-15,2.08
2024-06-16,1.7333333333333334
2024-06-17,1.3866666666666667
2024-06-18,1.04
2024-06-19,1.04
2024-06-20,1.04
2024-06-21,1.04
2024-06-22,1.04
2024-06-23,1.04
2024-06-24,1.04
2024-06-25,0.6933333333333334
2024-06-26,0.6933333333333334
2024-06-27,0.6933333333333334
2024-06-28,0.6933333333333334
2024-06-29,0.6933333333333334
2024-06-30,0.6933333333333334
2024-07-01,0.6933333333333334
2024-07-02,0.6933333333333334
2024-07-03,0.6933333333333334
2024-07-04,0.6933333333333334
2024-07-05,0.6933333333333334
2024-07-06,1.04
2024-07-07,0.6933333333333334
2024-07-08,0.6933333333333334
2024-07-09,0.6933333333333334
2024-07-10,0.6933333333333334
2024-07-11,0.6933333333333334
2024-07-12,0.6933333333333334
2024-07-13,0.6933333333333334
2024-07-14,0.6933333333333334
2024-07-15,0.6933333333333334
2024-07-16,0.6933333333333334
2024-07-17,0.6933333333333334
2024-07-18,0.6933333333333334
2024-07-19,0.6933333333333334
2024-07-20,0.6933333333333334
2024-07-21,0.6933333333333334
2024-07-22,0.6933333333333334
2024-07-23,0.6933333333333334
2024-07-24,0.6933333333333334
2024-07-25,0.6933333333333334
2024-07-26,0.6933333333333334
2024-07-27,0.6933333333333334
2024-07-28,0.6933333333333334
2024-07-29,0.6933333333333334
2024-07-30,0.6933333333333334
2024-07-31,0.6933333333333334
2024-08-01,0.6933333333333334
2024-08-02,0.6933333333333334
2024-08-03,1.04
2024-08-04,1.04
2024-08-05,0.6933333333333334
2024-08-06,1.04
2024-08-07,1.04
2024-08-08,1.04
2024-08-09,1.04
2024-08-10,1.04
2024-08-11,1.3866666666666667
2024-08-12,0.6933333333333334
2024-08-13,1.3866666666666667
2024-08-14,1.7333333333333334
2024-08-15,2.08
2024-08-16,2.08
2024-08-17,1.7333333333333334
2024-08-18,2.731273301737757
2024-08-19,2.0178957345971567
2024-08-20,1.0089478672985783
2024-08-21,1.0089478672985783
2024-08-22,1.1311848341232227
2024-08-23,1.304518167456556
2024-08-24,1.1311848341232227
2024-08-25,1.304518167456556
2024-08-26,1.1311848341232227
2024-08-27,0.7133775671406003
2024-08-28,1.0089478672985783
2024-08-29,1.304518167456556
2024-08-30,1.1311848341232227
2024-08-31,1.1311848341232227
2024-09-01,1.1311848341232227
2024-09-02,1.0089478672985783
2024-09-03,1.1311848341232227
2024-09-04,0.7133775671406003
2024-09-05,1.1311848341232227
2024-09-06,2.140132701421801
2024-09-07,3.444650868878357
2024-09-08,10.751759873617694
2024-09-09,4.158028436018958
2024-09-10,2.731273301737757
2024-09-11,1.1311848341232227
2024-09-12,1.0089478672985783
2024-09-13,2.0178957345971567
2024-09-14,2.853510268562401
2024-09-15,4.749169036334913
2024-09-16,2.140132701421801
2024-09-17,1.7113175355450236
2024-09-18,1.2223696682464456
2024-09-19,1.2223696682464456
2024-09-20,2.444739336492891
2024-09-21,1.4668436018957345
2024-09-22,3.9115829383886256
2024-09-23,1.7113175355450236
2024-09-24,1.2223696682464456
2024-09-25,0.9778957345971564
2024-09-26,0.9778957345971564
2024-09-27,0.9778957345971564
2024-09-28,0.9778957345971564
2024-09-29,2.933687203791469
2024-09-30,1.4668436018957345
2024-10-01,0.9778957345971564
2024-10-02,0.7334218009478672
2024-10-03,0.7334218009478672
2024-10-04,1.2223696682464456
2024-10-05,0.9778957345971564
2024-10-06,2.200265402843602
2024-10-07,0.9778957345971564
2024-10-08,0.9778957345971564
2024-10-09,0.7334218009478672
2024-10-10,0.7334218009478672
2024-10-11,0.9778957345971564
2024-10-12,0.9778957345971564
2024-10-13,3.178161137440758
2024-10-14,1.2223696682464456
2024-10-15,1.9557914691943128
2024-10-16,2.6892132701421803
2024-10-17,2.200265402843602
2024-10-18,1.9557914691943128
2024-10-19,1.4668436018957345
2024-10-20,4.156056872037914
2024-10-21,1.9557914691943128
2024-10-22,1.4668436018957345
2024-10-23,0.9778957345971564
2024-10-24,0.7334218009478672
2024-10-25,0.9778957345971564
2024-10-26,1.2223696682464456
2024-10-27,2.200265402843602
2024-10-28,1.7113175355450236
2024-10-29,3.4226350710900473
2024-10-30,1.9557914691943128
2024-10-31,1.7113175355450236
2024-11-01,1.4668436018957345
2024-11-02,1.2223696682464456
2024-11-03,2.444739336492891
2024-11-04,1.7113175355450236
2024-11-05,1.4668436018957345
2024-11-06,0.7334218009478672
2024-11-07,0.7334218009478672
2024-11-08,0.9778957345971564
2024-11-09,0.9778957345971564
2024-11-10,1.7113175355450236
2024-11-11,0.9778957345971564
2024-11-12,0.9778957345971564
