Time,boebert
2022-04-27,2.0
2022-04-28,2.0
2022-04-29,3.0
2022-04-30,5.0
2022-05-01,2.0
2022-05-02,1.0
2022-05-03,1.0
2022-05-04,2.0
2022-05-05,2.0
2022-05-06,1.0
2022-05-07,1.0
2022-05-08,1.0
2022-05-09,1.0
2022-05-10,1.0
2022-05-11,2.0
2022-05-12,2.0
2022-05-13,2.0
2022-05-14,2.0
2022-05-15,2.0
2022-05-16,1.0
2022-05-17,1.0
2022-05-18,4.0
2022-05-19,6.0
2022-05-20,3.0
2022-05-21,3.0
2022-05-22,3.0
2022-05-23,2.0
2022-05-24,2.0
2022-05-25,3.0
2022-05-26,3.0
2022-05-27,4.0
2022-05-28,3.0
2022-05-29,3.0
2022-05-30,2.0
2022-05-31,2.0
2022-06-01,2.0
2022-06-02,2.0
2022-06-03,2.0
2022-06-04,2.0
2022-06-05,2.0
2022-06-06,2.0
2022-06-07,5.0
2022-06-08,7.0
2022-06-09,10.0
2022-06-10,9.0
2022-06-11,5.0
2022-06-12,5.0
2022-06-13,4.0
2022-06-14,9.0
2022-06-15,96.0
2022-06-16,36.0
2022-06-17,15.0
2022-06-18,11.0
2022-06-19,6.0
2022-06-20,5.0
2022-06-21,4.0
2022-06-22,4.0
2022-06-23,7.0
2022-06-24,5.0
2022-06-25,6.0
2022-06-26,5.0
2022-06-27,5.0
2022-06-28,14.0
2022-06-29,44.0
2022-06-30,12.0
2022-07-01,6.0
2022-07-02,4.0
2022-07-03,3.0
2022-07-04,3.0
2022-07-05,4.0
2022-07-06,4.0
2022-07-07,3.0
2022-07-08,2.0
2022-07-09,3.0
2022-07-10,3.0
2022-07-11,4.0
2022-07-12,3.0
2022-07-13,5.0
2022-07-14,7.0
2022-07-15,5.0
2022-07-16,3.0
2022-07-17,3.0
2022-07-18,3.0
2022-07-19,3.0
2022-07-20,2.0
2022-07-21,2.0
2022-07-22,2.0
2022-07-23,2.0
2022-07-24,2.0
2022-07-25,2.0
2022-07-26,2.0
2022-07-27,2.0
2022-07-28,2.0
2022-07-29,2.0
2022-07-30,2.0
2022-07-31,2.0
2022-08-01,2.0
2022-08-02,3.0
2022-08-03,2.0
2022-08-04,2.0
2022-08-05,3.0
2022-08-06,6.0
2022-08-07,8.0
2022-08-08,5.0
2022-08-09,3.0
2022-08-10,2.0
2022-08-11,2.0
2022-08-12,3.0
2022-08-13,17.0
2022-08-14,19.0
2022-08-15,7.0
2022-08-16,4.0
2022-08-17,4.0
2022-08-18,3.0
2022-08-19,3.0
2022-08-20,3.0
2022-08-21,3.0
2022-08-22,2.0
2022-08-23,2.0
2022-08-24,2.0
2022-08-25,3.0
2022-08-26,3.0
2022-08-27,3.0
2022-08-28,4.0
2022-08-29,4.0
2022-08-30,2.5
2022-08-31,1.0
2022-09-01,1.0
2022-09-02,1.0
2022-09-03,1.5
2022-09-04,1.5
2022-09-05,1.0
2022-09-06,1.0
2022-09-07,1.0
2022-09-08,1.0
2022-09-09,0.5
2022-09-10,1.0
2022-09-11,4.0
2022-09-12,3.0
2022-09-13,2.0
2022-09-14,3.0
2022-09-15,5.5
2022-09-16,3.5
2022-09-17,1.0
2022-09-18,2.0
2022-09-19,1.5
2022-09-20,1.0
2022-09-21,0.5
2022-09-22,1.0
2022-09-23,1.0
2022-09-24,0.5
2022-09-25,1.0
2022-09-26,0.5
2022-09-27,1.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,1.0
2022-10-10,1.0
2022-10-11,1.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,1.0
2022-10-16,0.0
2022-10-17,2.0
2022-10-18,1.0
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,0.0
2022-10-22,0.0
2022-10-23,1.0
2022-10-24,1.0
2022-10-25,1.0
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-29,0.0
2022-10-30,0.0
2022-10-31,0.0
2022-11-01,0.0
2022-11-02,0.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-05,0.0
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,1.0
2022-11-09,85.0
2022-11-10,100.0
2022-11-11,57.0
2022-11-12,34.0
2022-11-13,28.0
2022-11-14,16.0
2022-11-15,15.0
2022-11-16,11.0
2022-11-17,12.0
2022-11-18,14.0
2022-11-19,6.0
2022-11-20,4.0
2022-11-21,4.0
2022-11-22,3.0
2022-11-23,2.0
2022-11-24,2.0
2022-11-25,1.0
2022-11-26,1.0
2022-11-27,1.0
2022-11-28,1.0
2022-11-29,1.0
2022-11-30,1.0
2022-12-01,1.0
2022-12-02,1.0
2022-12-03,1.0
2022-12-04,1.0
2022-12-05,1.0
2022-12-06,1.0
2022-12-07,1.0
2022-12-08,1.0
2022-12-09,1.0
2022-12-10,0.0
2022-12-11,1.0
2022-12-12,1.0
2022-12-13,2.0
2022-12-14,1.0
2022-12-15,1.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,1.0
2022-12-21,2.0
2022-12-22,2.0
2022-12-23,1.0
2022-12-24,1.0
2022-12-25,1.0
2022-12-26,1.0
2022-12-27,1.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,1.0
2023-01-04,4.0
2023-01-05,6.0
2023-01-06,5.0
2023-01-07,7.0
2023-01-08,3.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-21,1.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,1.0
2023-02-03,1.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,0.0
2023-02-07,1.0
2023-02-08,2.0
2023-02-09,2.0
2023-02-10,2.0
2023-02-11,1.0
2023-02-12,1.0
2023-02-13,1.0
2023-02-14,1.0
2023-02-15,1.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,1.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,1.0
2023-03-02,1.0
2023-03-03,1.0
2023-03-04,1.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,0.0
2023-03-08,1.0
2023-03-09,2.0
2023-03-10,4.0
2023-03-11,3.0
2023-03-12,3.0
2023-03-13,1.0
2023-03-14,1.0
2023-03-15,1.0
2023-03-16,1.0
2023-03-17,0.0
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.0
2023-03-25,1.0
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,1.0
2023-03-31,2.0
2023-04-01,1.0
2023-04-02,1.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,1.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,1.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.16666666666666666
2023-04-27,0.16666666666666666
2023-04-28,0.16666666666666666
2023-04-29,0.16666666666666666
2023-04-30,0.16666666666666666
2023-05-01,0.16666666666666666
2023-05-02,0.16666666666666666
2023-05-03,0.16666666666666666
2023-05-04,0.16666666666666666
2023-05-05,0.16666666666666666
2023-05-06,0.16666666666666666
2023-05-07,0.16666666666666666
2023-05-08,0.16666666666666666
2023-05-09,0.16666666666666666
2023-05-10,0.16666666666666666
2023-05-11,0.16666666666666666
2023-05-12,0.16666666666666666
2023-05-13,0.16666666666666666
2023-05-14,0.16666666666666666
2023-05-15,0.0
2023-05-16,1.1666666666666665
2023-05-17,4.833333333333333
2023-05-18,2.0
2023-05-19,1.6666666666666665
2023-05-20,1.8333333333333333
2023-05-21,1.0
2023-05-22,0.8333333333333333
2023-05-23,1.0
2023-05-24,1.0
2023-05-25,1.0
2023-05-26,1.6666666666666665
2023-05-27,1.3333333333333333
2023-05-28,1.0
2023-05-29,0.6666666666666666
2023-05-30,0.3333333333333333
2023-05-31,0.3333333333333333
2023-06-01,0.6666666666666666
2023-06-02,0.3333333333333333
2023-06-03,0.6666666666666666
2023-06-04,1.0
2023-06-05,1.3333333333333333
2023-06-06,1.0
2023-06-07,0.6666666666666666
2023-06-08,0.3333333333333333
2023-06-09,0.6666666666666666
2023-06-10,0.3333333333333333
2023-06-11,0.6666666666666666
2023-06-12,0.3333333333333333
2023-06-13,0.3333333333333333
2023-06-14,0.3333333333333333
2023-06-15,0.3333333333333333
2023-06-16,0.6666666666666666
2023-06-17,0.3333333333333333
2023-06-18,0.3333333333333333
2023-06-19,0.6666666666666666
2023-06-20,2.0
2023-06-21,1.0
2023-06-22,2.6666666666666665
2023-06-23,2.333333333333333
2023-06-24,1.0
2023-06-25,0.6666666666666666
2023-06-26,0.6666666666666666
2023-06-27,0.3333333333333333
2023-06-28,0.3333333333333333
2023-06-29,0.3333333333333333
2023-06-30,0.3333333333333333
2023-07-01,0.3333333333333333
2023-07-02,0.3333333333333333
2023-07-03,0.3333333333333333
2023-07-04,0.3333333333333333
2023-07-05,0.3333333333333333
2023-07-06,0.3333333333333333
2023-07-07,0.6666666666666666
2023-07-08,0.3333333333333333
2023-07-09,0.3333333333333333
2023-07-10,0.3333333333333333
2023-07-11,0.3333333333333333
2023-07-12,0.3333333333333333
2023-07-13,0.3333333333333333
2023-07-14,0.3333333333333333
2023-07-15,0.3333333333333333
2023-07-16,0.3333333333333333
2023-07-17,0.3333333333333333
2023-07-18,0.6666666666666666
2023-07-19,1.0
2023-07-20,0.6666666666666666
2023-07-21,0.3333333333333333
2023-07-22,0.3333333333333333
2023-07-23,0.3333333333333333
2023-07-24,0.3333333333333333
2023-07-25,0.3333333333333333
2023-07-26,0.3333333333333333
2023-07-27,0.3333333333333333
2023-07-28,0.3333333333333333
2023-07-29,0.3333333333333333
2023-07-30,0.3333333333333333
2023-07-31,0.0
2023-08-01,0.3333333333333333
2023-08-02,0.3333333333333333
2023-08-03,0.3333333333333333
2023-08-04,0.3333333333333333
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.3333333333333333
2023-08-09,0.3333333333333333
2023-08-10,0.3333333333333333
2023-08-11,0.3333333333333333
2023-08-12,0.0
2023-08-13,0.3333333333333333
2023-08-14,0.3333333333333333
2023-08-15,0.3333333333333333
2023-08-16,0.3333333333333333
2023-08-17,0.3333333333333333
2023-08-18,0.3333333333333333
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.3333333333333333
2023-08-22,0.3333333333333333
2023-08-23,0.3333333333333333
2023-08-24,0.3333333333333333
2023-08-25,0.3333333333333333
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.3333333333333333
2023-09-05,0.3333333333333333
2023-09-06,0.3333333333333333
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.3333333333333333
2023-09-13,7.333333333333333
2023-09-14,7.0
2023-09-15,6.666666666666666
2023-09-16,33.33333333333333
2023-09-17,22.0
2023-09-18,17.0
2023-09-19,18.333333333333332
2023-09-20,10.333333333333332
2023-09-21,5.666666666666666
2023-09-22,4.333333333333333
2023-09-23,5.666666666666666
2023-09-24,4.0
2023-09-25,2.333333333333333
2023-09-26,2.0
2023-09-27,2.6666666666666665
2023-09-28,1.6666666666666665
2023-09-29,1.3333333333333333
2023-09-30,2.0
2023-10-01,1.3333333333333333
2023-10-02,1.3333333333333333
2023-10-03,2.0
2023-10-04,1.6666666666666665
2023-10-05,1.0
2023-10-06,1.0
2023-10-07,0.6666666666666666
2023-10-08,0.6666666666666666
2023-10-09,0.6666666666666666
2023-10-10,0.6666666666666666
2023-10-11,1.3333333333333333
2023-10-12,2.333333333333333
2023-10-13,1.0
2023-10-14,0.6666666666666666
2023-10-15,0.6666666666666666
2023-10-16,1.0
2023-10-17,0.6666666666666666
2023-10-18,0.6666666666666666
2023-10-19,0.3333333333333333
2023-10-20,0.3333333333333333
2023-10-21,0.6666666666666666
2023-10-22,0.6666666666666666
2023-10-23,0.3333333333333333
2023-10-24,0.3333333333333333
2023-10-25,0.6666666666666666
2023-10-26,0.6666666666666666
2023-10-27,0.6666666666666666
2023-10-28,0.3333333333333333
2023-10-29,0.3333333333333333
2023-10-30,0.3333333333333333
2023-10-31,0.6666666666666666
2023-11-01,0.3333333333333333
2023-11-02,0.3333333333333333
2023-11-03,0.3333333333333333
2023-11-04,1.3333333333333333
2023-11-05,2.0
2023-11-06,1.0
2023-11-07,0.3333333333333333
2023-11-08,0.6666666666666666
2023-11-09,0.3333333333333333
2023-11-10,0.3333333333333333
2023-11-11,0.6666666666666666
2023-11-12,0.3333333333333333
2023-11-13,0.3333333333333333
2023-11-14,0.3333333333333333
2023-11-15,0.3333333333333333
2023-11-16,0.3333333333333333
2023-11-17,0.3333333333333333
2023-11-18,0.3333333333333333
2023-11-19,0.3333333333333333
2023-11-20,0.3333333333333333
2023-11-21,0.3333333333333333
2023-11-22,0.3333333333333333
2023-11-23,0.0
2023-11-24,0.3333333333333333
2023-11-25,0.0
2023-11-26,0.3333333333333333
2023-11-27,0.3333333333333333
2023-11-28,0.3333333333333333
2023-11-29,0.3333333333333333
2023-11-30,0.6666666666666666
2023-12-01,0.6666666666666666
2023-12-02,0.3333333333333333
2023-12-03,0.3333333333333333
2023-12-04,0.3333333333333333
2023-12-05,0.3333333333333333
2023-12-06,0.3333333333333333
2023-12-07,0.3333333333333333
2023-12-08,0.3333333333333333
2023-12-09,0.3333333333333333
2023-12-10,0.3333333333333333
2023-12-11,0.3333333333333333
2023-12-12,0.3333333333333333
2023-12-13,0.3333333333333333
2023-12-14,0.3333333333333333
2023-12-15,0.3333333333333333
2023-12-16,0.3333333333333333
2023-12-17,0.3333333333333333
2023-12-18,0.3333333333333333
2023-12-19,0.3333333333333333
2023-12-20,0.3333333333333333
2023-12-21,0.3333333333333333
2023-12-22,0.25424192665571976
2023-12-23,0.29802955665024633
2023-12-24,0.29802955665024633
2023-12-25,0.29802955665024633
2023-12-26,0.34181718664477284
2023-12-27,0.34181718664477284
2023-12-28,4.356048166392994
2023-12-29,2.007115489874111
2023-12-30,0.6836343732895457
2023-12-31,0.38560481663929935
2024-01-01,4.995894909688014
2024-01-02,6.363163656267105
2024-01-03,5.425287356321839
2024-01-04,1.963327859879584
2024-01-05,0.34181718664477284
2024-01-06,0.29802955665024633
2024-01-07,5.337712096332786
2024-01-08,3.286808976464149
2024-01-09,6.319376026272578
2024-01-10,6.319376026272578
2024-01-11,1.2796934865900382
2024-01-12,0.5960591133004927
2024-01-13,0.34181718664477284
2024-01-14,0.29802955665024633
2024-01-15,0.34181718664477284
2024-01-16,0.34181718664477284
2024-01-17,0.29802955665024633
2024-01-18,0.34181718664477284
2024-01-19,0.34181718664477284
2024-01-20,0.29802955665024633
2024-01-21,0.2627257799671593
2024-01-22,0.2627257799671593
2024-01-23,0.2627257799671593
2024-01-24,0.2627257799671593
2024-01-25,0.2627257799671593
2024-01-26,0.43787629994526545
2024-01-27,0.43787629994526545
2024-01-28,0.43787629994526545
2024-01-29,2.1893814997263275
2024-01-30,1.5763546798029557
2024-01-31,0.6130268199233716
2024-02-01,0.5254515599343186
2024-02-02,0.35030103995621237
2024-02-03,0.43787629994526545
2024-02-04,0.35030103995621237
2024-02-05,0.2627257799671593
2024-02-06,0.35030103995621237
2024-02-07,0.35030103995621237
2024-02-08,0.2627257799671593
2024-02-09,0.2627257799671593
2024-02-10,0.17515051997810618
2024-02-11,0.17515051997810618
2024-02-12,0.17515051997810618
2024-02-13,0.2627257799671593
2024-02-14,0.2627257799671593
2024-02-15,0.2627257799671593
2024-02-16,0.17515051997810618
2024-02-17,0.2627257799671593
2024-02-18,0.2627257799671593
2024-02-19,0.43787629994526545
2024-02-20,0.35030103995621237
2024-02-21,0.2627257799671593
2024-02-22,0.2627257799671593
2024-02-23,0.17515051997810618
2024-02-24,0.2627257799671593
2024-02-25,0.2627257799671593
2024-02-26,0.2627257799671593
2024-02-27,0.17515051997810618
2024-02-28,5.95511767925561
2024-02-29,7.619047619047619
2024-03-01,5.517241379310345
2024-03-02,4.641488779419814
2024-03-03,5.604816639299398
2024-03-04,2.889983579638752
2024-03-05,4.028461959496442
2024-03-06,3.4154351395730704
2024-03-07,0.963327859879584
2024-03-08,1.926655719759168
2024-03-09,0.7881773399014779
2024-03-10,0.7006020799124247
2024-03-11,0.2627257799671593
2024-03-12,0.43787629994526545
2024-03-13,0.8757525998905309
2024-03-14,1.6639299397920086
2024-03-15,0.7881773399014779
2024-03-16,0.6130268199233716
2024-03-17,0.43787629994526545
2024-03-18,0.35030103995621237
2024-03-19,0.35030103995621237
2024-03-20,0.35030103995621237
2024-03-21,0.2627257799671593
2024-03-22,0.2627257799671593
2024-03-23,0.2627257799671593
2024-03-24,0.2627257799671593
2024-03-25,0.2627257799671593
2024-03-26,0.2627257799671593
2024-03-27,0.2627257799671593
2024-03-28,0.2627257799671593
2024-03-29,0.35030103995621237
2024-03-30,0.35030103995621237
2024-03-31,0.2627257799671593
2024-04-01,0.2627257799671593
2024-04-02,0.17515051997810618
2024-04-03,6.743295019157088
2024-04-04,8.494800218938149
2024-04-05,5.079365079365079
2024-04-06,6.743295019157088
2024-04-07,6.480569239189929
2024-04-08,1.5763546798029557
2024-04-09,0.35030103995621237
2024-04-10,0.17515051997810618
2024-04-11,0.2627257799671593
2024-04-12,0.35030103995621237
2024-04-13,0.35030103995621237
2024-04-14,0.2627257799671593
2024-04-15,0.17515051997810618
2024-04-16,0.2627257799671593
2024-04-17,0.2627257799671593
2024-04-18,0.2627257799671593
2024-04-19,0.2627257799671593
2024-04-20,0.35030103995621237
2024-04-21,0.35030103995621237
2024-04-22,0.2627257799671593
2024-04-23,0.35030103995621237
2024-04-24,0.2627257799671593
2024-04-25,0.2627257799671593
2024-04-26,0.17515051997810618
2024-04-27,0.17515051997810618
2024-04-28,0.35030103995621237
2024-04-29,0.2627257799671593
2024-04-30,0.2627257799671593
2024-05-01,0.35030103995621237
2024-05-02,0.7881773399014779
2024-05-03,2.6272577996715927
2024-05-04,0.35030103995621237
2024-05-05,0.2627257799671593
2024-05-06,0.17515051997810618
2024-05-07,0.2627257799671593
2024-05-08,0.17515051997810618
2024-05-09,0.2627257799671593
2024-05-10,0.17515051997810618
2024-05-11,0.17515051997810618
2024-05-12,0.17515051997810618
2024-05-13,0.17515051997810618
2024-05-14,0.17515051997810618
2024-05-15,0.08757525998905309
2024-05-16,0.5254515599343186
2024-05-17,3.0651340996168583
2024-05-18,0.7006020799124247
2024-05-19,0.43787629994526545
2024-05-20,0.35030103995621237
2024-05-21,0.2627257799671593
2024-05-22,0.2627257799671593
2024-05-23,0.17515051997810618
2024-05-24,0.2627257799671593
2024-05-25,0.2627257799671593
2024-05-26,0.17515051997810618
2024-05-27,0.17515051997810618
2024-05-28,0.17515051997810618
2024-05-29,0.17515051997810618
2024-05-30,0.2627257799671593
2024-05-31,0.35030103995621237
2024-06-01,0.2627257799671593
2024-06-02,0.5254515599343186
2024-06-03,0.6130268199233716
2024-06-04,0.43787629994526545
2024-06-05,0.7006020799124247
2024-06-06,2.5396825396825395
2024-06-07,2.1018062397372743
2024-06-08,4.466338259441708
2024-06-09,0.43787629994526545
2024-06-10,0.35030103995621237
2024-06-11,0.35030103995621237
2024-06-12,0.43787629994526545
2024-06-13,0.43787629994526545
2024-06-14,0.2627257799671593
2024-06-15,0.2627257799671593
2024-06-16,0.2627257799671593
2024-06-17,0.17515051997810618
2024-06-18,0.17515051997810618
2024-06-19,0.17515051997810618
2024-06-20,0.2627257799671593
2024-06-21,0.35030103995621237
2024-06-22,0.7881773399014779
2024-06-23,0.7881773399014779
2024-06-24,0.7006020799124247
2024-06-25,1.3136288998357963
2024-06-26,4.81663929939792
2024-06-27,1.2260536398467432
2024-06-28,1.1384783798576903
2024-06-29,0.35030103995621237
2024-06-30,0.2627257799671593
2024-07-01,0.2627257799671593
2024-07-02,0.2627257799671593
2024-07-03,0.17515051997810618
2024-07-04,0.2627257799671593
2024-07-05,0.17515051997810618
2024-07-06,0.17515051997810618
2024-07-07,0.17515051997810618
2024-07-08,0.17515051997810618
2024-07-09,0.17515051997810618
2024-07-10,0.35030103995621237
2024-07-11,0.5254515599343186
2024-07-12,0.43787629994526545
2024-07-13,0.35030103995621237
2024-07-14,0.35030103995621237
2024-07-15,0.35030103995621237
2024-07-16,0.2627257799671593
2024-07-17,0.35030103995621237
2024-07-18,0.35030103995621237
2024-07-19,0.35030103995621237
2024-07-20,0.2627257799671593
2024-07-21,0.2627257799671593
2024-07-22,1.4012041598248495
2024-07-23,6.568144499178982
2024-07-24,1.839080459770115
2024-07-25,0.5254515599343186
2024-07-26,0.35030103995621237
2024-07-27,0.35030103995621237
2024-07-28,0.2627257799671593
2024-07-29,0.2627257799671593
2024-07-30,0.2627257799671593
2024-07-31,0.2627257799671593
2024-08-01,0.35030103995621237
2024-08-02,0.2627257799671593
2024-08-03,0.17515051997810618
2024-08-04,0.2627257799671593
2024-08-05,0.17515051997810618
2024-08-06,0.17515051997810618
2024-08-07,0.2627257799671593
2024-08-08,0.17515051997810618
2024-08-09,0.17515051997810618
2024-08-10,0.43787629994526545
2024-08-11,0.43787629994526545
2024-08-12,0.2627257799671593
2024-08-13,0.2627257799671593
2024-08-14,0.2627257799671593
2024-08-15,0.5254515599343186
2024-08-16,8.75752599890531
2024-08-17,5.867542419266557
2024-08-18,3.2097808773515863
2024-08-19,1.0568070699802588
2024-08-20,0.6017109155427636
2024-08-21,0.4354163207320898
2024-08-22,0.269121725921416
2024-08-23,0.3719488570321581
2024-08-24,0.4354163207320898
2024-08-25,0.3325891896213477
2024-08-26,0.5185636181374267
2024-08-27,0.4354163207320898
2024-08-28,0.2888015596268212
2024-08-29,0.16629459481067385
2024-08-30,0.16629459481067385
2024-08-31,0.10282713111074213
2024-09-01,0.14661476110526867
2024-09-02,0.18597442851607904
2024-09-03,0.18597442851607904
2024-09-04,0.3719488570321581
2024-09-05,1.2427814984963377
2024-09-06,0.7680055103534376
2024-09-07,0.4354163207320898
2024-09-08,0.2494418922160108
2024-09-09,0.269121725921416
2024-09-10,0.2494418922160108
2024-09-11,0.269121725921416
2024-09-12,0.2494418922160108
2024-09-13,0.2494418922160108
2024-09-14,0.269121725921416
2024-09-15,0.20565426222148425
2024-09-16,0.20565426222148425
2024-09-17,0.2361580044648623
2024-09-18,0.1967983370540519
2024-09-19,0.2361580044648623
2024-09-20,0.15743866964324152
2024-09-21,0.15743866964324152
2024-09-22,0.15743866964324152
2024-09-23,0.1967983370540519
2024-09-24,0.1967983370540519
2024-09-25,0.1967983370540519
2024-09-26,0.1967983370540519
2024-09-27,0.31487733928648304
2024-09-28,0.27551767187567267
2024-09-29,0.27551767187567267
2024-09-30,0.1967983370540519
2024-10-01,0.15743866964324152
2024-10-02,0.1967983370540519
2024-10-03,0.1967983370540519
2024-10-04,0.27551767187567267
2024-10-05,0.27551767187567267
2024-10-06,0.1967983370540519
2024-10-07,0.15743866964324152
2024-10-08,0.1967983370540519
2024-10-09,0.1967983370540519
2024-10-10,0.31487733928648304
2024-10-11,0.3935966741081038
2024-10-12,0.3935966741081038
2024-10-13,0.27551767187567267
2024-10-14,0.2361580044648623
2024-10-15,0.11807900223243115
2024-10-16,0.1967983370540519
2024-10-17,0.2361580044648623
2024-10-18,0.1967983370540519
2024-10-19,0.15743866964324152
2024-10-20,0.2361580044648623
2024-10-21,0.1967983370540519
2024-10-22,0.2361580044648623
2024-10-23,0.2361580044648623
2024-10-24,0.1967983370540519
2024-10-25,0.2361580044648623
2024-10-26,0.1967983370540519
2024-10-27,0.2361580044648623
2024-10-28,0.2361580044648623
2024-10-29,0.2361580044648623
2024-10-30,0.1967983370540519
2024-10-31,0.1967983370540519
2024-11-01,0.27551767187567267
2024-11-02,0.4723160089297246
2024-11-03,2.6370977165242953
2024-11-04,0.3542370066972934
2024-11-05,0.5510353437513453
2024-11-06,3.935966741081038
2024-11-07,1.7711850334864672
